Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","I am looking for buyer to purchase land available for sale in roshanabad, haridwar. Available at price of rs 40 lacs. It has plot area of 1725 sq ft. It is a freehold property","1,725 sqft",Plot Area,₹40 Lac,"₹2,318 /sqft",0
3 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar","Brokers stay away don't contact
Commercial property location
Shivalik nagar infront chandna medical store
Two sides road.
Infront open space","1,356 sqft",Plot Area,₹1.25 Cr,"₹9,585 /sqft",2
1 BHK,"Sidcul NH 73, Haridwar",Arrow Holiday Homes,It is a property by hero group and in industrial area of haridwar,485 sqft,Super Built-up Area,₹15 Lac,"₹3,092 /sqft",1
Plot/Land,"Salempur, Haridwar",Others,"Residential plot very close to sidcul,Sector-2, Haridwar","1,000 sqft",Plot Area,₹15 Lac,"₹1,500 /sqft",0
8 BHK,"Jwalapur, Haridwar",Krishna Nakshatra Home,"We have a builder floor available for sale in haripur kalan, haridwar. Available at price of rs 8250000. It has super area of 2016 sq ft. It has 8 bhk, 5 bathroom, 4 balcony.It is a freehold property","2,016 sqft",Super Built-up Area,₹82.5 Lac,"₹4,092 /sqft",5
8 BHK,"Motichur, Haridwar","Motichur, Haridwar","The locality is near highway (150mtr), regenta hotel (200mtr), shantikunj (1km), bharat mata mandir (1.5km), and raiwala (3km). The food delivery is also done by swiggy, zomato. The house is cleaned and tile installed in floor, bathroom, and toilet. 1 store room is also constructed. Its 6 bhk with ground and first floor. It is very near to nature and you will get fresh air. You can walk around ...","1,400 sqft",Plot Area,₹55 Lac,"₹3,928 /sqft",4
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","Location of plot, construction can be done as per your requirement,","2,310 sqft",Plot Area,₹55 Lac,"₹2,380 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,Next to school and main road and park,"1,080 sqft",Plot Area,₹25 Lac,"₹2,333 /sqft",0
Plot/Land,"NH-58, Haridwar",Hero Alaknanda,Residential plot for resale in hero alaknanda at nh-58 hero alaknanda nh-58,"1,097 sqft",Plot Area,₹22 Lac,"₹2,004 /sqft",0
4 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","3year old self constructed luxury house ideal for residential and rental. 
Going permanent transfer from here.
Near sidcul bypass, barrier no. 6 shivam vihar colony, jamalpur khurd bahadrabad. 
2 km from bhel and kv school","1,340 sqft",Plot Area,₹34 Lac,"₹2,537 /sqft",3
2 BHK,"Kankhal, Haridwar",ManoharPuram,Residential apartment for sell.Located in kankhal.It is a unfurnished property.The property has 2 bedrooms with 1 bathroom .Property is built in 70.00 sq. Meter(Builtup area) available at an expected price of rs 1600000.Located on 1st floor out of the 3 the property comes with a good construction quality which ages 5-10 years old property,753 sqft,Built-up Area,₹16 Lac,"₹2,123 /sqft",1
4 BHK,"Kangari, Haridwar","Kangari, Haridwar",Interested to sell independent house/villa.Placed at kangari.Nice semifurnished enhancing decorit has spacious 4 bedrooms and 4 bathrooms. .Want to sell it for rs 4500000.It is a 5-10 years old property construction,"1,200 sqft",Plot Area,₹45 Lac,"₹3,750 /sqft",4
2 BHK,"Roshanabad, Haridwar",Haridwar Greens,"It a new property , school is in front of apartment .",735 sqft,Super Built-up Area,₹30 Lac,"₹4,082 /sqft",2
2 BHK,"Bahadarabad, Haridwar",Sri Hari Darshan,"Rera registered 
Hrda approved
Overhead water tank 
Gated colony 
Site on highway
 Cctv installed 
Best construction quality
Excellent location
50 families already living","1,000 sqft",Plot Area,₹35 Lac,"₹3,500 /sqft",2
2 BHK,"Patanjali Yogpeeth, Haridwar",Adiyogi Haridwar,"Adiyogi haridwar present vip segments 
All units are park facing",700 sqft,Plot Area,₹31 Lac,"₹4,428 /sqft",1
1 BHK,"Patanjali Yogpeeth, Haridwar",Pyramid Colonizers Subham,"1. Located opposite to crystal world 
2. Pyramid colonizer , subham haridwar
3. 12 kms from roorkee & 17 kms from harkipaudi
4. Well connected {400 meters} to roorkee - Hardwar mainroad",320 sqft,Carpet Area,₹9 Lac,"₹2,812 /sqft",1
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Facing green, ready to builds n occupy.","1,278 sqft",Plot Area,₹32 Lac,"₹2,504 /sqft",0
Plot/Land,"Mayapur, Haridwar","Mayapur, Haridwar",Residential plot is available for sale at the price of 800000,"1,000 sqft",Plot Area,₹8 Lac,₹800 /sqft,0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Aiming High Octagon Vista,"Plot/land available on sell in patanjali yogpeeth, haridwar. Contact us for price details. It is adjacent to crystal water park, patanjali yogpeeth and on the delhi to haridwar highway.","2,250 sqft",Plot Area,₹50 Lac,"₹2,222 /sqft",0
8 BHK,"Shantikunj, Haridwar","Shantikunj, Haridwar",Interested to sell independent house/villa.Placed at shantikunj.It has spacious 8 bedrooms  and 11 bathrooms. .Want to sell it for 1.1 crore.It is a 1 to 5 years old  construction,"2,016 sqft",Plot Area,₹1.1 Cr,"₹5,457 /sqft",11
