Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"meena enclave, Haridwar","meena enclave, Haridwar","East facing 
Comercial registry","2,100 sqft",Plot Area,₹3.25 Cr,"₹15,476 /sqft",0
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar",Property is good for rental purpose.,900 sqft,Plot Area,₹28.5 Lac,"₹3,166 /sqft",0
4 BHK,"Patanjali Yogpeeth, Haridwar",Aarvanss Sanskriti Vihar,"I am looking for buyer to purchase house/villa available for sale in jwalapur, haridwar. Available at price of rs 1.2 crores. It has plot area of 1100 sq ft. It has 4 bhk, 3 bathroom, 1 balcony.It is a freehold property","1,100 sqft",Plot Area,₹1.2 Cr,"₹10,909 /sqft",3
5 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","We are proud owners of house/villa available for sale in bahadrabad, haridwar. Available at price of rs 36 lacs. It has plot area of 840 sq ft. It has 5 bhk, 4 bathroom, balcony.It is a freehold property",840 sqft,Plot Area,₹36 Lac,"₹4,285 /sqft",4
1 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"Looking for buyer to purchase our studio apartment available for sale in roshanabad, haridwar. Available at price of rs 13 lacs. It has super area of 385 sq ft. It has , 1 balcony.It is a freehold property",385 sqft,Super Built-up Area,₹13 Lac,"₹3,376 /sqft",0
1 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"We have a studio apartment available for sale in roshanabad, haridwar. Available at price of rs 10 lacs. It has super area of 385 sq ft. It has , 1 balcony.It is a freehold property",385 sqft,Super Built-up Area,₹10 Lac,"₹2,597 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Residential land available for sell.Located in suman nagar.Available at an price of rs 650000.,"1,125 sqft",Plot Area,₹6.5 Lac,₹577 /sqft,0
6 BHK,"Shivalik Nagar, Haridwar",L block,"Residential property, can be used as commercial property
One can rebuild and make showroom
On road property with ample space for parking for customers.","1,440 sqft",Plot Area,₹2.8 Cr,"₹19,444 /sqft",4
2 BHK,Near Haridwar Gree Appartment Navodya Nagar,Sidharth Enclave,"New build large size room, and well maintained home","1,440 sqft",Plot Area,₹57 Lac,"₹3,958 /sqft",2
Plot/Land,"Kankhal, Haridwar",Raja Garden,"Planning to purchase a plot in haridwar? This plot in kankhal is situated in one of the excellent locations of the city. This 1400 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. Currently the nature of ownership of the property is freehold. The e...","1,400 sqft",Plot Area,₹35 Lac,"₹2,500 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","I am saleing my plot which are available in suman nagar haridwar near hiway
Plot can be used for house or commercial purposes also. This is approx. 8 km from har ki peri.","1,800 sqft",Plot Area,₹32 Lac,"₹1,777 /sqft",0
Plot/Land,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar","Few mtrs from highway
In a well settled residential colony 
Have two side opening east facing plot
Nearby market school and hospital and police station
Nearby park 
Nearby petrolpump etc","1,850 sqft",Plot Area,₹53 Lac,"₹2,864 /sqft",0
Plot/Land,"Missarpur, Haridwar","Missarpur, Haridwar",5 min from upcoming medical colleges in haridwar and dav school,"2,152 sqft",Plot Area,₹1.5 Cr,"₹6,970 /sqft",0
5 BHK,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,We want to sale our house only coz of my work,"1,000 sqft",Carpet Area,₹42 Lac,"₹4,200 /sqft",3
2 BHK,"Shyampur, Haridwar","Shyampur, Haridwar",Villa in ganga kinare with beautiful view. Approachable road easy connectivity. Private ganga ghat gated society and 8% assured rental.,"1,500 sqft",Plot Area,₹95 Lac,"₹6,333 /sqft",2
Plot/Land,"Shahpur Shitala Khera, Haridwar","Shahpur Shitala Khera, Haridwar","On highway  property best location 
Far from river bank only 3 km","1,742,399 sqft",Plot Area,₹90 Lac,₹5 /sqft,0
Plot/Land,"Patanjali Yogpeeth, Haridwar","SHIVALIK ENCLAVE ,SHANTARSAH","Its just behind patanjali yog peeth , front side 20 feet road , in developed locality , good appreciation in short time . Pleasant surroundings.","2,000 sqft",Plot Area,₹50 Lac,"₹2,500 /sqft",0
Plot/Land,"Shyampur, Haridwar","Shyampur, Haridwar","Picturesque location, lush green mountains on one side
100 metres from haridwar-Nainital highway
100 metres from ganga river","40,000 sqft",Plot Area,₹12 Cr,"₹3,000 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,"Corner plot 
2 side open 
Park facing
East facing
Perfect plot size to build house. Plot ready for construction
Society includes community hall, kids park, yoga park, open gym and many other parks
Approximately 70% of plots are occupied by residents and live there currently.
Well developed society with all essential amenities 
Reasonable price","1,550 sqft",Plot Area,₹58.9 Lac,"₹3,800 /sqft",0
