Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
3 BHK,"Kankhal, Haridwar",Kartikya Apartment,Video of the property also available contact now,"1,100 sqft",Built-up Area,₹30 Lac,"₹3,333 /sqft",2
1 BHK,"Badheri Rajputan, Haridwar",Shubharambh,Property highlights: - 1 bedrooms - Panoramic ganges views - Serene garden - Modern kitchen - Ample parking - Secure neighborhood Additional features: - Rera and hrda approved - Located within a 105 begha walled community - Internal market - 3 huge parks - Temple - 9-Meter roads - 300 meters from nh334 - Opposite crystal world - 1.5 km from patanjali yogpeth Let's schedule a viewing at your con...,560 sqft,Plot Area,₹21 Lac,"₹3,134 /sqft",1
Plot/Land,"Jwalapur, Haridwar","Jwalapur, Haridwar",Two side open behind dps school,"1,000 sqft",Plot Area,₹24 Lac,"₹2,400 /sqft",0
1 BHK,"Kankhal, Haridwar",Vaishnavi Apartment,Cheapest flat in kankhal near rk mission hospital,500 sqft,Carpet Area,₹25 Lac,"₹5,000 /sqft",1
Plot/Land,"Jagjeetpur, Haridwar",dwarka Vihar phase 2,The ownership is freehold type. Hda approved ..,"1,050 sqft",Plot Area,₹36 Lac,"₹3,600 /sqft",0
Plot/Land,"Sidcul , Haridwar",palm city,"Prelaunching a residential plots awaited hrda awaited looking for buyer to purchase our land available for sale in sidcul, haridwar. Available at price of rs 30 lacs. It has plot area of 1000 sq ft. It is a freehold property","1,000 sqft",Plot Area,₹30 Lac,"₹3,000 /sqft",0
3 BHK,"Sitapur, Haridwar","Sitapur, Haridwar","3bhk residential house for resale in sitapur ganesh vihar, sitapur, jawalapur, harixwar","1,008 sqft",Carpet Area,₹38 Lac,"₹3,175 /sqft",3
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","I have a land available for sale in roshanabad, haridwar. Available at price of rs 12 lacs. It has plot area of 1080 sq ft. It is a freehold property","1,080 sqft",Plot Area,₹12 Lac,"₹1,111 /sqft",0
2 BHK,"office, Haridwar",vaishnavi residency,"I am looking for buyer to purchase house/villa available for sale in office, haridwar. Available at price of rs 15 lacs. It has plot area of 390 sq ft. It has 2 bhk, 1 bathroom, 0 balcony.It is a freehold property",390 sqft,Plot Area,₹15 Lac,"₹3,846 /sqft",1
6 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar","Very peace full area near of every important localities such as market ,school ,medicals",923 sqft,Plot Area,₹55 Lac,"₹5,958 /sqft",4
Plot/Land,"Patanjali Yogpeeth, Haridwar",Shree Ved City,"Near patanjali ayurved limited 
Near to national highway
Near to har ki paudi in few minutes 
Residential 
Gated society 
Gaurded 24x7 security 
Uttam distillery is very close
School
Market
Hospital 
Connectivity is frequent
Open environment 
Natural air and water
Electricity 24x7
Water 24x7
No dealer( Direct seller)",980 sqft,Plot Area,₹30 Lac,"₹3,061 /sqft",0
2 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Ab ghar hoga apna bahut hi kam price m,"1,000 sqft",Plot Area,₹19 Lac,"₹1,900 /sqft",2
3 BHK,"Shivalik Nagar, Haridwar",Manu Green,"Looking for buyer to purchase our house/villa available for sale in shivalik nagar, haridwar. Available at price of rs 75 lacs. It has plot area of 1071 sqft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property","1,071 sqft",Plot Area,₹75 Lac,"₹7,002 /sqft",2
2 BHK,"Ganpati Dham phase 3, Haridwar","Ganpati Dham phase 3, Haridwar",Near ring road exit. No traffic noise,"1,000 sqft",Plot Area,₹60 Lac,"₹6,000 /sqft",2
6 BHK,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","Two side road, near govt.Madical college & hope hospital, all reputed public schools hub. Like dav, dps, sgrr, maharshi vidya mandir etc.","1,200 sqft",Plot Area,₹80 Lac,"₹6,666 /sqft",4
2 BHK,Gajiwali Haridwar,Emerald Riviera,This property have a personal ganga ghat .Club house pool and mountain view,900 sqft,Super Built-up Area,₹73 Lac,"₹8,111 /sqft",2
3 BHK,"Shivalik Nagar, Haridwar",Manu Green,"Shivalik nagar is one of haridwar's most sought after destination for residential houses and this 3 bhk house in shivalik nagar is your opportunity to be a part of this community. This residential property boasts proximity to key landmarks like close to hospital, close to market and close to school. The house has over super built up area of 1071 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and...","1,071 sqft",Plot Area,₹80 Lac,"₹7,469 /sqft",2
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","I am owner of this plot, not a dealer or agent. I am sale my plot. All papers completed along with mutation ( Dakhil kharij). All mandatory paper is completed",900 sqft,Plot Area,₹8.5 Lac,₹944 /sqft,0
6 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar","The property is in a prime location, east-Facing, adjoining park . The property is located in a posh area.","2,152 sqft",Plot Area,₹4 Cr,"₹18,581 /sqft",2
5 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","I am looking for buyer to purchase house/villa available for sale in bahadarabad, haridwar. Available at price of rs 5500000. It has plot area of 1400 sq ft. It has 5 bhk, 5 bathroom, 0 balcony.It is a freehold property","1,400 sqft",Plot Area,₹55 Lac,"₹3,928 /sqft",5
2 BHK,"Suman Nagar, Haridwar",AV Suman Nagar THDC Colony,"Prime location, east facing, semi furnished, loan facility also available, peaceful area, mountain view, own garden.",800 sqft,Plot Area,₹38 Lac,"₹4,750 /sqft",2
4 BHK,"Devpura, Haridwar","Devpura, Haridwar",We have this house in centre of the city all things are near,750 sqft,Plot Area,₹70 Lac,"₹9,333 /sqft",3
3 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar",Park and good road sidcul 10km haridwar station,"1,800 sqft",Plot Area,₹1.44 Cr,"₹8,000 /sqft",2
