Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Best in class property available at suman nagar location in haridwar,"1,000 sqft",Plot Area,₹7.5 Lac,₹750 /sqft,0
5 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Nice location and well build quality material use in home.,"1,035 sqft",Plot Area,₹28 Lac,"₹2,705 /sqft",5
Plot/Land,"Laksar, Haridwar","Laksar, Haridwar","Near highway, good environment, peace full location, good place for future, good for investment purpose .",900 sqft,Plot Area,₹9 Lac,"₹1,000 /sqft",0
6 BHK,"Kankhal, Haridwar",Trilok nagar  opp Arihant Vihar Kankhal,"This is an independent house with three stories building at very good location, with double side open road, near by gurukul university haridwar, full of near by very close to ganga river ( Only 1 km), 3 km railway station and roadways, hospital is vey near 2 km, ranipur mode is only 2 km from this house. You can see mansa maa and chandi maa temple from top roofs in evey morning and evening. Ren...","2,200 sqft",Carpet Area,₹51 Lac,"₹2,318 /sqft",5
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"We are the proud owners of this 2 bhk apartment available in mantra happy homes, sidcul, haridwar. This apartment is a 0-1 year old property, priced approximately at rs. 3518 per sq. Ft. Or rs. 2850000. It is a resale and a ready to move in apartment. The unit is located on the 7th floor and has a super built-Up area of 810. 0 sq. Ft. It has 2 bathroom(s) and 3 balcony(s). The ownership is free...",810 sqft,Super Built-up Area,₹28.5 Lac,"₹3,518 /sqft",2
8 BHK,"Shivpuri Colony, Haridwar","Shivpuri Colony, Haridwar","Interested to sell independent house/villa.Placed at haridwar.It has spacious 8 bedrooms and 5 bathrooms. .3500 sq.Ft.(Buildup area) , 1700 sq.Ft.(Plot area) is the area of the property wan to sell it for 99 lac.","1,700 sqft",Plot Area,₹99 Lac,"₹5,823 /sqft",5
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Crystal world and food court within 100 meter
Bml munjal green medows school nearby
South facing and north side proposed road with two side open
Overlooking park/garden within 25 meter","1,068 sqft",Plot Area,₹26.7 Lac,"₹2,500 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Raghunath Residency,"Garden facing flat, vastu complaint, east facing, spacious rooms, 2 balconies, attached bathroom with both bedrooms. Store room/ puja room. Tv unit, spacious cupboards. Modular kitchen and chimney available. High class wooden work in both bedrooms. Ac in all 3 rooms. Well connected to national highway. Green lush area with mountain view. Easy access to roof .","1,100 sqft",Carpet Area,₹38 Lac,"₹3,454 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"In phase-1 of the 93 acres township Park facing Very close to bl munjal school Patanjali yogpeeth 3 kms Iit roorkee 12 kms Cbri, nih and other top civil engg research institutes 12-15 kms Patanjali yog gram 24 kms Haridwar har ki pauri 25 kms Rishikesh 45 kms Dehradun jolly grant airport 62 kms Dhanaulti 100 kms Mussoorie 106 kms Tehri dam 127 kms Lansdowne 130 kms Chakrata 162 kms New delhi 20...","1,405 sqft",Plot Area,₹60.5 Lac,"₹4,303 /sqft",0
Plot/Land,"Suman Nagar, Haridwar",khasra no 371,This plot is 2 side corner in suman ngr bhadrabad. Front side in suman ngr bhadrabad haridwar in main road,"9,500 sqft",Plot Area,₹90 Lac,₹947 /sqft,0
