Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar","Residential land available for sale.Located in kankhal.Available at an price of rs 80,00,000.Well developed colony.","1,500 sqft",Plot Area,₹80 Lac,"₹4,866 /sqft",0
Plot/Land,"Roshanabad, Haridwar",Navodaya Nagar Colony,Scenic locality with water and electricity facility. Near to the market.,"12,001 sqft",Plot Area,₹19.2 Lac,₹159 /sqft,0
Plot/Land,"Indralok, Haridwar","Indralok, Haridwar","Residential land available for sell.Located in indralok.Available at an price of rs 11400000.Map approved by hrda. Property comes under area of nagar palika shivalik nagar haridwar. Property is free hold. Very near to sidcul industrial area, pentagon mall, wave cinema, degree college, delhi public school, market, weekly market, dm office, hospital, play ground. Property is good for rental incom...","1,743 sqft",Plot Area,₹1.14 Cr,"₹6,540 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Raghunath Residency,"Its a 2 bhk semi-Furnished , well maintained flat which includes ac's in 2 bedroom and 1 hall plus geyser in the master bathroom.The kitchen is having modular setting and a chimney plus wardrobes . All the doors are having net fittings door and window.It is located near sidcul turn opposite itc fortune hotel and sun city cinema .It is safe and secure society with garden for playing for kids.","1,100 sqft",Super Built-up Area,₹36 Lac,"₹3,454 /sqft",2
8 BHK,"Rishikul new colony, Haridwar","Rishikul new colony, Haridwar",Posh area property in haridwar,"1,350 sqft",Plot Area,₹1.8 Cr,"₹13,333 /sqft",4
2 BHK,"Sector 5A, Haridwar",Deep Ganga Apartments,"2bhk , newly painted house available on 2nd floor","1,170 sqft",Carpet Area,₹35 Lac,"₹2,991 /sqft",2
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar",4bhk residential house for resale in jwalapur anaj mandhi jwalapur road near jatwada pul,"1,500 sqft",Carpet Area,₹1.8 Cr,"₹12,000 /sqft",2
2 BHK,"Salempur, Haridwar",shivam vihar,Beautiful house for small family with green area around. Loan also available.,490 sqft,Plot Area,₹15.75 Lac,"₹3,214 /sqft",1
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","Residential land available for sell.Located in mohan enclave, raja garden road, near bhanu pratap school jagjeetpur.Available at an price of rs 1975000.",860 sqft,Plot Area,₹19.75 Lac,"₹2,296 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Bhumi KRS Park And Homes,"2bhk available for rent : Special attraction of this flat : 1) a panoramic view 2) keep your eye on your children playing at ground 3) sufficient sunlight & moderate air flow. 4) cross ventilation. 5) fully furnished modular kitchen with chimney 6) wardrobe in each living room 7) curtain rods, led tubes, bulbs, ceiling fans at all places and door bell 8) safety grills at all windows 9) 24hrs li...","1,087 sqft",Carpet Area,₹44 Lac,"₹4,047 /sqft",2
10 BHK,"Sidcul NH 73, Haridwar",surya nagar,"I have a house/villa available for sale in sidcul nh 73, haridwar. Available at price of rs 1.3 crores. It has plot area of 7560 sq ft. It has 37 bhk, 37 bathroom, 3 balcony.It is a freehold property","7,560 sqft",Plot Area,₹1.3 Cr,"₹1,719 /sqft",10
2 BHK,"purushottam vihar, Haridwar",Krishna Appartment,"Located in the popular residential address of purushottam vihar, haridwar, krishna appartment is one of the most preferred destination for apartments in haridwar. Well connect and availability of public transport round the clock. This 2 bhk flat is your ticket to be a part of this community. This is a east-Facing property. Containing 2 bathrooms and 2 balconies, this flat is spread over an supe...",900 sqft,Super Built-up Area,₹33 Lac,"₹3,800 /sqft",2
5 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","In the heart of city 
Gym shopping food 
Shiv temple","2,000 sqft",Plot Area,₹2 Cr,"₹10,000 /sqft",5
1 BHK,"niranjani akhara marg, Haridwar",ashirwad apartment,"Near by 5star hotel pilibhit house by ihcl and also very close to ganga ji river and market place on a very prime location near by market , ganga ji , and dams",600 sqft,Carpet Area,₹30 Lac,"₹5,000 /sqft",1
1 BHK,"aarogyam city pantjali, Haridwar","aarogyam city pantjali, Haridwar","Looking for buyer to purchase our studio apartment available for sale in aarogyam city pantjali, haridwar. Available at price of rs 28 lacs. It has super area of 450 sq ft. It has , 1 balcony.It is a freehold property",450 sqft,Super Built-up Area,₹28 Lac,"₹6,222 /sqft",0
Plot/Land,"Gaindi Khata, Haridwar","Gaindi Khata, Haridwar","Approx only 1.5 km from national highway 34 connecting haridwar to kotdwar
All basic facility like schools, hospitals are available only 1-5 km range. 
Only 20 km from haridwar city and railway station",981 sqft,Plot Area,₹8.18 Lac,₹833 /sqft,0
3 BHK,"Jwalapur, Haridwar",Subhash Nagar,Contact - Two side open property. Behind dps haridwar on bhel barrier no.8. On wide open main road.,"3,240 sqft",Plot Area,₹2.95 Cr,"₹7,716 /sqft",2
3 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar","Interested to sell independent house/villa.Placed at pac road subhash nagar.Nice semifurnished enhancing decorit has spacious 3 bedrooms and 3 bathrooms. .Want to sell it for rs 3000000.It is a 10 years old property construction. Near to railway station, petrol pump",500 sqft,Plot Area,₹28.5 Lac,"₹5,500 /sqft",3
1 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","We are proud owners of builder floor available for sale in bahadarabad, haridwar. Available at price of rs 1.25 crores. It has super area of 4800 sq ft. It has 1 rk, 1 bathroom, 4 balcony.It is a freehold property","4,800 sqft",Super Built-up Area,₹1.25 Cr,"₹2,604 /sqft",1
Plot/Land,"Industrial Area, Haridwar","Industrial Area, Haridwar","Check out this plot in industrial area, haridwar, an ideal destination to build your dream residence. It's a 1250 sq.Ft. Super built up area property. This property allows you to construct upto 3 floors. Expected possession of property immediately. The property is owned under freehold contract. The plot is available at a price of  25 lac. The owner is open for negotiation.","1,250 sqft",Plot Area,₹25 Lac,"₹2,000 /sqft",0
Plot/Land,"Atmalpur Bongla, Haridwar",shiv vihar,"Planning to build residence in haridwar? This plot in atmalpur bongla is the best deal for you. The plot is around super built up area of 2263 sq.Ft. In size. Up to 4 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured from sat, 01 nov 2031. Currently the nature of ownership of the property is freehold. The expected price for the...","2,263 sqft",Plot Area,₹56.58 Lac,"₹2,500 /sqft",0
4 BHK,"Patanjali Yogpeeth, Haridwar",Arogyam,"It has a spacious personal terrace of 550 sq ft. There is a utility balcony . The colony is gated with security, lifts, gardens , temple, club, shops and restaurants. Best colony in haridwar district with maximum open green area.","2,700 sqft",Carpet Area,₹1.1 Cr,"₹4,800 /sqft",3
3 BHK,"Ramdham Colony, Haridwar","Ramdham Colony, Haridwar","Independent house for sale at ram dham colony near shivalik nagar haridwar
It has 22 feet wide road and built on 1450 sqft area.
The area is under nagar palika.
Only serious buyer should contact.","1,450 sqft",Plot Area,₹60 Lac,"₹4,137 /sqft",2
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","We have a land available for sale in bahadarabad, haridwar. Available at price of rs 5000000. It has plot area of 2700 sqft. It is a freehold property","2,700 sqft",Plot Area,₹50 Lac,"₹1,851 /sqft",0
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","2700 sqft plot size 
Near ankurum public school","2,700 sqft",Plot Area,₹50 Lac,"₹1,851 /sqft",0
