Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Very nice and beautiful park facing full day sun light,"1,645 sqft",Super Built-up Area,₹75 Lac,"₹4,559 /sqft",3
2 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Interested to sell independent house/villa.It is a 10  years old property constructionplaced at jwalapur.It has spacious 2 bedrooms and 1 bathroom. .Want to sell it for rs 3600000.Centrte of city, nearby market, hospital, schol, bus stand and everything .",800 sqft,Plot Area,₹36 Lac,"₹4,500 /sqft",1
Plot/Land,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar","I have a land available for sale in shivalik nagar, haridwar. Available at price of rs 15 lacs. It has plot area of 660 sq ft. It is a freehold property",660 sqft,Plot Area,₹15 Lac,"₹2,272 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,"Near to har ki poudi, opposite crystal water park and multiple food cort beside pantanjali yogpeeth, very peaceful atmosphere, basement covered parking , moti mahal restaurant in side the society and 200 rooms hotel inside , swimming pool , gym , party halls , retails shops mandir and many more . Good for nris","1,100 sqft",Carpet Area,₹50 Lac,"₹4,545 /sqft",2
Plot/Land,Sidcul bypass Road haridwar,Lotus Ganga Phase-1,This plot is situated 200mtr away from sidcul bypass road and next to ashoka farm house and hero's gharaunda residential society near to denso chowk industrial area. This property is suitable for residential and commercial/rental purposes. This is a east facing plot.,"1,500 sqft",Plot Area,₹37.5 Lac,"₹2,500 /sqft",0
4 BHK,"Kankhal, Haridwar","Kankhal, Haridwar",Best in class property available at kankhal location in haridwar,"2,100 sqft",Built-up Area,₹1 Cr,"₹4,762 /sqft",4
Plot/Land,"Alipur Ibrahimpur Urf Ikk, Haridwar","Alipur Ibrahimpur Urf Ikk, Haridwar","I have a land available for sale in ranipur jhal, haridwar. Available at price of rs 20.8 lacs. It has plot area of 1600 sq ft. It is a freehold property","1,600 sqft",Plot Area,₹20.8 Lac,"₹1,300 /sqft",0
1 BHK,"Badheri Rajputan, Haridwar",Eminent Aarogyam,"Gated society with all facilities- Security, club, swimming pool, etc.
Apartment in new condition with all original fittings. Never lived in the apartment. Facing inside park & very well lighted.",850 sqft,Carpet Area,₹30 Lac,"₹3,529 /sqft",1
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","East facing plot on a 40 feet width road. Opposite to bml munjal green meadows school, the plot has an additional green belt area on the rear/back side of plot. The plot is located at a premium location and is 60 feet from the main approach road. The very opposite side to the front of plot is allocated for commercial purposes.","1,485 sqft",Plot Area,₹39.6 Lac,"₹2,667 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","I am looking for buyer to purchase land available for sale in patanjali, roorkee. Available at price of rs 3500000. It has plot area of 156 sq yards. It is a freehold property","1,404 sqft",Plot Area,₹35 Lac,"₹2,493 /sqft",0
1 BHK,"Shantikunj, Haridwar","Shantikunj, Haridwar",Best in class property available at shantikunj location in haridwar,618 sqft,Built-up Area,₹26 Lac,"₹4,369 /sqft",2
2 BHK,"Har Ki Pauri, Haridwar",Raghunath Residency,"2 bath, semi-Furnished, 1st floor (Of 7), raghunath residency flat no. C-107","1,100 sqft",Carpet Area,₹35 Lac,"₹3,182 /sqft",2
1 BHK,"Roshanabad, Haridwar",hero greens,"Looking for buyer to purchase our studio apartment available for sale in roshanabad, haridwar. Available at price of rs 11.25 lacs. It has super area of 365 sq ft. It has , 1 balcony.It is a freehold property",365 sqft,Super Built-up Area,₹11.25 Lac,"₹3,082 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","This is commercial + residential plot on road facing, shops can be constructed towards the road facing.","3,900 sqft",Plot Area,₹78 Lac,"₹2,000 /sqft",0
Plot/Land,Gajiwali Haridwar,"Gajiwali, Haridwar","20 feet wide road, drainage system , 500 meters from river ganga","2,000 sqft",Plot Area,₹16 Lac,₹800 /sqft,0
Plot/Land,"Roshanabad, Haridwar",Siddharth Enclave,Good property with west facing near sidcul and district office roshnabad. Nice locality near by hero homes and stadium.,"1,125 sqft",Plot Area,₹22.5 Lac,"₹2,000 /sqft",0
2 BHK,"Kankhal, Haridwar","Kankhal, Haridwar",Best in class property available at kankhal location in haridwar,800 sqft,Built-up Area,₹30 Lac,"₹3,750 /sqft",2
1 BHK,"Sidcul , Haridwar",deep ganga apartment,"We are the proud owners of this 1 bhk apartment available in deep ganga apartment, sidcul , haridwar. This it is a and the unit is located on 4th floor and has a super built-Up area of 800 sq.Ft. . It has 1 bathroom(s) and 2 balcony(s). The ownership is leasehold type.",800 sqft,Super Built-up Area,₹23 Lac,"₹2,875 /sqft",1
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","Suman nagar is an ideal location for buying residential plots in haridwar. This plot in suman nagar is a great buy for you. It spans over spectacular 900 sq.Ft. Super built up area. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for 7 lac. Open for negotiation. It's a north-Facing plot.",900 sqft,Plot Area,₹7 Lac,₹777 /sqft,0
2 BHK,"Kankhal, Haridwar",vishnu garden,Vishnu garden colony is situated near ganga river and is closely attached to the expressway. The location of house is very safe and peaceful and is very well connected to city. An ideal home for small family.,600 sqft,Plot Area,₹35 Lac,"₹5,833 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Well located corner plot with ample space, running primary school and gated community and near the builder office. Maintenance paid till june 2025 and registry done, mutation in process. Looking forward for genuine buyers only. Brokers please excuse.",997 sqft,Plot Area,₹26 Lac,"₹2,606 /sqft",0
Plot/Land,"Arya Nagar, Haridwar","Arya Nagar, Haridwar","I am looking for buyer to purchase land available for sale in nandpuri colony, jaipur. Available at price of rs 2 crores. It has plot area of 1575 sq ft. It is a freehold property","1,575 sqft",Plot Area,₹2 Cr,"₹12,698 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",Plot. In. Approved. Colony. With. Plinth. Boundry. Wall. Roads. And. Electricity,522 sqft,Plot Area,₹4 Lac,₹766 /sqft,0
3 BHK,"Kankhal, Haridwar",Vivekanand Enclave,Well maintained and good atmosphere,805 sqft,Plot Area,₹39 Lac,"₹4,844 /sqft",3
