Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"This society is located at very prime location, society is surrounded by 100 ft road, infront of this society pentagon mall, 4 star hotels are there,all the conveyance facility are there for easy to reach, metro hospital is 2 km away from this society.",915 sqft,Super Built-up Area,₹38 Lac,"₹4,153 /sqft",2
3 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"This society is located at very prime location, society is surrounded by 100 ft road, infront of this society pentagon mall, 4 star hotels are there,all the conveyance facility are there for easy to reach, metro hospital is 2 km away from this society.","1,315 sqft",Super Built-up Area,₹48 Lac,"₹3,650 /sqft",2
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"Nice and clean society with all amenities. 250 happy families are living. Full security, 2 parks, temple and near to pentagon mall. Also near to shivalik nagar. Metro hospital and maximum government offices are with in 3 km. Newly building",810 sqft,Super Built-up Area,₹25 Lac,"₹3,333 /sqft",2
2 BHK,"Sidcul NH 73, Haridwar",Deep Ganga Apartment,"A 2 bedroom resale flat, located in sidcul nh 73, haridwar, is available. It is a ready to move in semi-Furnished flat located in deep ganga apartment. Situated in a prominent locality, it is a 5-10 year old, which is in its prime condition. The flat is on the 2nd floor of the building. Aesthetically designed, this property has 2 bathroom(s). The property also has 2balcony(s). The flat has a go...","1,140 sqft",Super Built-up Area,₹35 Lac,"₹2,456 /sqft",2
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Beautiful 2bhk apartment is available for sale in one of the best society of haridwar uttarakhand. Flat is fully furnished with all furnitures and electronic equipments.,880 sqft,Super Built-up Area,₹35 Lac,"₹3,977 /sqft",2
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Flats for sale in one of the best society of haridwar uttarakhand with cover car parking club membership and power backup.,"1,645 sqft",Super Built-up Area,₹72 Lac,"₹4,376 /sqft",3
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,136.32 gaj plot available hrda and rera approved,"1,224 sqft",Plot Area,₹45 Lac,"₹3,676 /sqft",0
1 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"1 bhk premium flats ready to move in shanti kunj haridwar. 582 sqft area where we constructed 1 bedroom, 2 bathrooms, and 1 living room 1 balcony. Flooring is made with vitrified tiles and anti-Skid tiles in the bathroom. You can see the park view from the balcony of the apartment. Special care has been taken to ensure premium construction quality by using ash bricks, upvc doors, best quality p...",582 sqft,Carpet Area,₹26 Lac,"₹5,326 /sqft",2
2 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"2 bhk un-Furnished, har ke pouri shanti kung gate number 4 near jain mander highway touch","1,064 sqft",Carpet Area,₹37 Lac,"₹3,289 /sqft",2
1 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"562 sqft 1bhk flat 2 toilet un furnished open parking in city haridwar near har ke pauri Excellent option for investment living rental, construction on in full swing , vastu designs, , suits your taste and budget, excellent natural light and air ventilation, prime and easy location Features General Power back-Up Lifts Security Security guards Electronic security Lot Private terrace Balcony Priv...",562 sqft,Carpet Area,₹25 Lac,"₹4,092 /sqft",2
5 BHK,"Rawali Mahdood, Haridwar",Khasra No. 466,"All that piece and parcel of property house admeasuring east 35 feet, west 35 feet, north 20 feet, south 20 feet,total area 700 sq. Ft. I.E 65.05 sq. Mt., having 4 rooms, 2 latrine bathroom,stairs at the ground floor and 5 rooms, 2 latrine bathroom at first floor,having total covered area 1400 sq. Ft., bearing its khasra no. 466,situated at village, rawali mahdood, pargana jwalapur tehsil & dis...",700 sqft,Plot Area,₹20 Lac,"₹2,857 /sqft",2
