Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,House situated at crystal world water park at patanjali yogphit all neccary things like school. College hospital and delhi haridwar national highway available at walking distance of 5 minutes 100m of distance .,700 sqft,Plot Area,₹42 Lac,"₹6,000 /sqft",2
10 BHK,"Arya Nagar, Haridwar","Arya Nagar, Haridwar","Interested to sell independent house/villa.It has spacious 10 bedrooms and 8 bathrooms. .Nice furnished enhancing decorplaced at arya nagar.Want to sell it for rs 19000000.It is a 5-10 years old property construction property is well built, a1 construction, property is located in heart of the city, terrace and verandah is available, 2 wheeler parking is also available, bank is near the property.","1,800 sqft",Plot Area,₹1.9 Cr,"₹10,555 /sqft",8
2 BHK,"near Ranipur Mod, Haridwar",Shivlok colony,"Being in th last row of houses, it enjoys the clear veiw of the rajaji national park which is just adjucent to the colony and the air quality is sublime.",839 sqft,Built-up Area,₹37 Lac,"₹4,169 /sqft",1
3 BHK,"Kankhal, Haridwar",Raja Garden,1000 sq foot 2200 carpet area very well construction and two side open and 2 floors pvc worked very well ventilate,"1,000 sqft",Plot Area,₹70 Lac,"₹7,000 /sqft",3
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Freehold 100 sq yards plot 
Near to commercials
Park facing 
 Opposite patanjali , on the main highway",927 sqft,Plot Area,₹30 Lac,"₹3,236 /sqft",0
2 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"There is no leakage/dampness in walls .
There is a own parking space for a vehicle.",775 sqft,Carpet Area,₹20 Lac,"₹2,580 /sqft",2
4 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","We have a house/villa available for sale in roshanabad, haridwar. Available at price of rs 60 lacs. It has plot area of 1353 sq ft. It has 4 rk, 4 bathroom, 1 balcony.It is a freehold property","1,353 sqft",Plot Area,₹60 Lac,"₹4,434 /sqft",4
2 BHK,"Industrial Area, Haridwar","Industrial Area, Haridwar","Near madir & shoping mall
Industrial area","1,000 sqft",Plot Area,₹34 Lac,"₹3,400 /sqft",2
Plot/Land,"Jwalapur, Haridwar","Jwalapur, Haridwar",This plot is situated yoga city opposite to patanjali food and herbal park on main laksar haridwar highway,"1,225 sqft",Plot Area,₹14 Lac,"₹1,142 /sqft",0
4 BHK,"BHEL, Haridwar",Subhash Nagar,Note: Rs. 15000 rent collection per month.,"2,100 sqft",Plot Area,₹60 Lac,"₹2,500 /sqft",3
Plot/Land,"pul jatwara, Haridwar",Ramavihar colony,1000 sq feet plot in a colony of nearly 380 residents.,"1,000 sqft",Plot Area,₹18 Lac,"₹1,800 /sqft",0
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a semifurnished property.Located in sidcul .Property is built in 796.00 sq.Ft.(Builtup area) , 1035 (Plot area)available at an expected price of rs 4000000.Located on 8th floor out of the 9 the property comes with a good construction quality which ages 5-10 years old property.Common parking is available.",950 sqft,Super Built-up Area,₹40 Lac,"₹4,210 /sqft",2
1 BHK,"Kankhal, Haridwar",vaishnavi appartment 1,"We are the proud owners of this 1 bhk apartment available in vaishnavi appartment 1, kankhal, haridwar. This it is a and the unit is located on 3rd floor and has a super built-Up area of 550 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.",550 sqft,Super Built-up Area,₹25 Lac,"₹4,545 /sqft",1
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Full furnished and ready to move in,"1,645 sqft",Super Built-up Area,₹75 Lac,"₹4,559 /sqft",3
Plot/Land,"Aneki Hetmapur, Haridwar",Roshnabad,"Residential property, negotiations will be done on table only. On road plot, two side open, main road facing, ready to build your dream home in haridwar, just 16.2 kilometres away from har ki pauri, boundry wall, near oxford school haridwar.","2,690 sqft",Plot Area,₹40 Lac,"₹1,635 /sqft",0
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,"Located in the popular residential address of jwalapur, haridwar, the vardhman jurs country is one of the most preferred destination for apartments in haridwar. This 3 bhk flat is your ticket to be a part of this community. The flat is over 1645 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The residential building has 7 floors in total and the flat for sa...","1,645 sqft",Super Built-up Area,₹82 Lac,"₹4,984 /sqft",3
Plot/Land,Opp. Patanjali Hebal Food Park Laksar Road Haridwar,"Opp. Patanjali Hebal Food Park Laksar Road, Haridwar","Opp. Near patanjali herbal food park, on laksar- Haridwar main road colony",918 sqft,Plot Area,₹20.2 Lac,"₹2,200 /sqft",0
Plot/Land,"Aneki Hetmapur, Haridwar","Aneki Hetmapur, Haridwar","About property
Address: Navodaya nagar colony
Roshanabad, haridwar
I have a plot available for sale in navodaya nagar colony
Roshanabad , haridwar. It has plot area of 22080 sq ft. It is a freehold property","22,080 sqft",Plot Area,₹5 Cr,"₹2,264 /sqft",0
9 BHK,"Kharkhari, Haridwar","Kharkhari, Haridwar","Nice good location 
Near gurudwara/railway crossing","2,550 sqft",Plot Area,₹4.5 Cr,"₹17,647 /sqft",9
2 BHK,Gajiwali Haridwar,Emerald Riviera,In a gated society. Best for family.,"1,000 sqft",Plot Area,₹27 Lac,"₹2,700 /sqft",2
1 BHK,"Kankhal, Haridwar",Gayatri Lok Apartment,"This lovely 1 bhk apartment/flat in kankhal is available for sale in one of haridwar's most popular projects, gayatri lok apartment. The flat occupies a carpet area of 864 sq.Ft. That consists of 1 bedroom, 1 bathroom and 2 balconies 1 hall. In from of ma ganga prime location, peaceful society with temple inside the society.",864 sqft,Carpet Area,₹27 Lac,"₹3,125 /sqft",1
Plot/Land,"Subhash Nagar, Haridwar",Subhash Nagar,It's a last plot... So you can have better ventilation and car parking option.,"1,225 sqft",Plot Area,₹37.36 Lac,"₹3,050 /sqft",0
1 BHK,"Haripur Kalan, Haridwar",JMD 3,"1.This property is in front of the highway connecting haridwar to delhi (Just 300 meters away from bus stop on highway).
2.The famous shantikunj vishwavidyalay is just few meters away.
3. There are two ghats of gangaji just a kilometer from this property.",579 sqft,Carpet Area,₹20 Lac,"₹3,454 /sqft",1
