Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Super house for living, all necessaries are available nearest. Newly constructed. 
Ek baar jaroor dekhe,pasand jaroor ayega.","1,570 sqft",Plot Area,₹74 Lac,"₹4,713 /sqft",3
10 BHK,"Rawali Mahdood, Haridwar","Rawali Mahdood, Haridwar","Heart in city, 03 km district head quarters,07 km har ki pauri, under shivalik nagar nagar palika, 400 m sidcul, adjecent indra lok colony etc.","3,135 sqft",Plot Area,₹1.7 Cr,"₹5,422 /sqft",5
Plot/Land,Gajiwali Haridwar,"Gajiwali, Haridwar",Residential plot for resale in gajiwali gajiwali,585 sqft,Plot Area,₹6 Lac,"₹1,026 /sqft",0
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar",Selling shop with house of 1st and 2nd floor in market area,"1,500 sqft",Carpet Area,₹1.8 Cr,"₹12,000 /sqft",2
Plot/Land,"Shantikunj, Haridwar",Birla Farm,"Excellent location with all major ammanities ie bank, atm, hospital available nearby.",800 sqft,Plot Area,₹33.5 Lac,"₹4,188 /sqft",0
Plot/Land,"Salempur, Haridwar",Hanumant Enclave,Within 500 m to sidkul highway. Easy accessibility. Lowest rate compared to similar plots in vicinity.,"5,250 sqft",Plot Area,₹57.75 Lac,"₹1,100 /sqft",0
3 BHK,"laksar road, Haridwar",bhagirathi vihar,"New constructed duplex house in the holy city of haridwar East facing In bhagirathi vihar colony on main laskar road Google location: V4rg+94r, kankhal, haridwar, uttarakhand 249408 5 minutes distance from super multy specialiry government medical college 5 minutes distance from haridwar ring road 10 minutes distance from holy river ganga 20 minutes distance from haridwar railway station and bu...",580 sqft,Plot Area,₹26 Lac,"₹4,482 /sqft",2
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar",Our house is located on main road in front of gol gurudwara near jwalapur railway station and this property can be also be use for commercial purpose.,"1,000 sqft",Plot Area,₹1.3 Cr,"₹13,000 /sqft",1
Plot/Land,"Haripur Kalan, Haridwar","Haripur Kalan, Haridwar",I sell my house urgent . 4bedroom two toilet,500 sqft,Plot Area,₹28 Lac,"₹6,000 /sqft",0
4 BHK,"Haripur Kalan, Haridwar","Golok Dham, Haripur Kalan","Located just 500 meters from haridwar- Rishikesh haridwar- Dehradun highway. In close proximity to an unversity, schools, hospitals, river ganga, banks, market and gas agency. Best suited for families, elderly personnels or buiseness professionals","1,911 sqft",Plot Area,₹1 Cr,"₹5,232 /sqft",3
8 BHK,"Har Ki Pauri, Haridwar",Shrawan Nath Nagar,Property is located in central area of haridwar close to railway station and bus stand. Ganga ghat is also nearby. Situated in fully commercial area and posh area of haridwar.,"1,200 sqft",Plot Area,₹3 Cr,"₹25,000 /sqft",3
Plot/Land,Gajiwali Haridwar,"Gajiwali, Haridwar","I am looking for buyer to purchase land available for sale in shyampur kangri, nand vihar, gajiwali pargana najiwabad, haridwar. Available at price of rs 7,50,000 lacs. It has plot area of 600 sq ft. It is a freehold property",600 sqft,Plot Area,₹7.5 Lac,"₹1,250 /sqft",0
1 BHK,"Sidcul NH 73, Haridwar","Haridwar Greens, Holiday Home","Want to sell asap, good 1bhk flat, a very good society to live. Need to sell this as soon as possible. Haridwar greens, holiday homes. Good good good good good good good good good good good goood good good good good good good good good good good good",485 sqft,Super Built-up Area,₹14.6 Lac,"₹2,886 /sqft",1
15 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Interested to sell independent house/villa.Placed at sidcul .Nice furnished enhancing decorit has spacious 15 bedrooms and 15 bathrooms. .Want to sell it for rs 17500000.It is a 10  years old property construction. Running as pg, 50000 to 1.5 lakhs per month income. Tv, inverter. Rooftop dinning available.","3,000 sqft",Plot Area,₹1.75 Cr,"₹5,833 /sqft",15
6 BHK,"Shantikunj, Haridwar","Shantikunj, Haridwar","6bhk flat available at gayatri vihar colony near shanti kunj ashram bhupatwala road , haridwar with spacious rooms and modern amenities , connected with rishikesh highway and shanti kunj ashram which is at a distance of approximately 300 metres . Interested users can contact us.",531 sqft,Built-up Area,₹55 Lac,"₹10,352 /sqft",3
Plot/Land,"Har Ki Pauri, Haridwar","Har Ki Pauri, Haridwar",1500 sqft plot on the banks of maa ganga in shyampur noabad towards chandi devi mandir,"1,500 sqft",Plot Area,₹55 Lac,"₹3,666 /sqft",0
1 BHK,"Har Ki Pauri, Haridwar",RG AMRIT,"The premium flats in shantikunj haridwar is a convenient unit for those looking to combine spirituality with modern living. This unit has 670 sqft area where we constructed 1 living room, 1 bedroom, 2 bathrooms, and 2 balcony. Flooring is made with vitrified tiles and anti-Skid tiles in the bathroom. You can see the park view from the balcony of the apartment. Special care has been taken to ens...",670 sqft,Carpet Area,₹28 Lac,"₹4,925 /sqft",2
3 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","Luxurious villa with swimming pool ,park ,in gated society,at back side of crystal world","1,700 sqft",Plot Area,₹59 Lac,"₹3,470 /sqft",3
4 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"Vip gated society near pentagon mall sidcul haridwar, around this society 100 ft road, gated society with all amenities, newly constructed luxury villa , ready to move.
Very prime location","1,350 sqft",Plot Area,₹1.9 Cr,"₹5,937 /sqft",4
1 BHK,Gajiwali Haridwar,Emerald Riviera,Property is located on the river of ganges.,600 sqft,Super Built-up Area,₹42 Lac,"₹7,000 /sqft",1
3 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,"Fully furnished apartment
- 3 beds 
- Sofa set 
- Dining table 
- Kitchen cabinets 
- 2 air conditioner
- 1 tv
- Water ro 
- Emergency power connection
- Parking","1,210 sqft",Carpet Area,₹48.5 Lac,"₹4,008 /sqft",2
3 BHK,"Santarshah, Haridwar","Santarshah, Haridwar","Gated society, 30 foot road, next to patanjali, near food court, sarovar portico, national food court",900 sqft,Plot Area,₹67 Lac,"₹7,777 /sqft",4
Plot/Land,"Badheri Rajputan, Haridwar",Hero alaknanda,"Delhi haridwar nh 334
Nearby access to",882 sqft,Plot Area,₹22.05 Lac,"₹2,500 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar",It is near so many colleges and there is a buyback option after 18 months with 25% premium.,900 sqft,Plot Area,₹42 Lac,"₹4,666 /sqft",0
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"2 bhk resale flat is available in the promising locality of sidcul, haridwar. It is a ready to move in spacious flat and is located on the 6th floor. Every single detail of the flat is carefully designed. The apartment is priced at rs. 33 lakhs (Rs. 3267 per sq. Ft. ). It is a freehold property, with a super built-Up area of 1010. 0 sq. Ft. It has 2 bathroom(s). The flat comprises of 3 balcony(...","1,010 sqft",Super Built-up Area,₹33 Lac,"₹3,267 /sqft",2
