Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
4 BHK,"Shivalik Nagar, Haridwar",thdc coloniy,Verma propertis 500 sqft se lekar 2000 sqft tak home availabil han,"1,200 sqft",Plot Area,₹45 Lac,"₹3,750 /sqft",2
Plot/Land,"Dwarka Vihar, Haridwar",DWARIKA VIHAR,"Its owner posting so no brokerage.This is east facing plot with wide road in front of plot.The plot is around 1k m from river ganga.
25 feet road.","1,350 sqft",Plot Area,₹49.7 Lac,"₹3,681 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","We have a land available for sale in suman nagar, haridwar. Available at price of rs 22 lacs. It has plot area of 740 sq ft. It has 2 bhk, 1 bathroom, 1 balcony.It is a freehold property",740 sqft,Plot Area,₹22 Lac,"₹2,972 /sqft",0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","This plot is open from north & south direction. Corner plot so, end of the road can be used for parking car. This is inside a secured boundary with concrete roads (15 feet wide) and street lights. Some plots in this boundary have already constructed houses and family are living there peacefully. This is just 8 mins walk from holy ganga river. Industrial area sidcul is just 7 kms away and haridw...",800 sqft,Plot Area,₹9 Lac,"₹1,125 /sqft",0
2 BHK,"Shantikunj, Haridwar",shantikunj shantikuj harid,Near to shantikunj gayatri tirth,330 sqft,Carpet Area,₹19 Lac,"₹5,757 /sqft",1
Plot/Land,Uma vihar colony fase-2 gram jamalpur kala Haridwar juwalapur,"Uma vihar colony fase-2 gram jamalpur kala Haridwar juwalapur, Haridwar","Very mint and good property in rudki haridwar main road,football ground near by and ganga ji in the main road with 1.5 km also gurukul educational institution near by with very good market around.",565 sqft,Plot Area,₹30.5 Lac,"₹5,398 /sqft",0
2 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","The house is situated at well developed colony, nearest navodaya vidyalaya, roshnabad stedium and industrial area.",640 sqft,Plot Area,₹21 Lac,"₹3,281 /sqft",1
2 BHK,"Industrial Area, Haridwar","Industrial Area, Haridwar",Interested to sell independent house/villa.It is a 1-5 years old property constructionplaced at industrial area.Nice semifurnished enhancing decorit has spacious 2 bedrooms and 2 bathrooms. .Want to sell it for rs 5600000.,"1,210 sqft",Plot Area,₹56 Lac,"₹4,624 /sqft",2
2 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,Residential apartment for sell.Located on 5th floor out of the 6 located in roshanabad.It is a semifurnished property.The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs 2000000.The property comes with a good construction quality which ages 1-5 years old property,700 sqft,Carpet Area,₹20 Lac,"₹2,857 /sqft",2
4 BHK,"Kankhal, Haridwar","Kankhal, Haridwar",Best in class property available at kankhal location in haridwar,"1,600 sqft",Built-up Area,₹1.6 Cr,"₹10,000 /sqft",1
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Best in class property available at jwalapur location in haridwar,880 sqft,Built-up Area,₹33 Lac,"₹3,750 /sqft",2
