Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
5 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","A house for rent business is good for choice 
Having 5 rooms with attached kitchen in all rooms","1,030 sqft",Plot Area,₹33 Lac,"₹3,398 /sqft",4
3 BHK,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,Very beautiful place park facing very good location and beautiful place house,852 sqft,Plot Area,₹42.5 Lac,"₹4,988 /sqft",3
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar",Its a park facing property in a gated society vardaye residency. Its very near to patanjali yogpeeth and crystal world. 100 mtrs away from the nh- 334,960 sqft,Plot Area,₹38 Lac,"₹3,958 /sqft",0
3 BHK,"Kankhal, Haridwar",sandesh nagar,One of posh localities and near by daksh mandir and 10 min walk from main delhi haridwar highway and space for car parking at stilt.,"2,200 sqft",Built-up Area,₹1.1 Cr,"₹5,500 /sqft",2
3 BHK,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar",Interested to sell independent house/villa.Placed at jagjeetpur.It has spacious 3 bedrooms and 2 bathrooms. .Want to sell it for rs 2950000.It is a 0-1 years old property construction,558 sqft,Plot Area,₹29.5 Lac,"₹5,286 /sqft",2
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","Land is available with 450 feet front on road, road have both side connectivity with highways via bahadrabad bypass & ring road. Back side sahara residential colony with lots of residential facilities of maxwell hospital , degree collage, care collage , inter collage, bahadrabad market are all almost 1 km aways.","1,080,287 sqft",Plot Area,₹70 Cr,₹648 /sqft,0
4 BHK,"Haripur Kalan, Haridwar","Haripur Kalan, Haridwar","Independent house/villa with two floors available for sale in birla farms, near dev sanskriti vishwavidalaya in haridwar for rs 1 crore . All rooms in ground floor fitted with best quality marbles.","2,000 sqft",Plot Area,₹1 Cr,"₹5,000 /sqft",3
2 BHK,"Satyam Vihar Colony, Haridwar","Satyam Vihar Colony, Haridwar","This is a builder floor available for sale in satyam vihar, haridwar. Available at price of rs 23.5 lacs. It has super area of 800 sq ft. It has 2 bhk, 2 bathroom, one balcony plus separate washing area. It is a freehold property. Road facing. Har ki pauri is around 5km. Shanti kunj, gayatri parivar is at walkable distance. Price negotiable. Additional discount in price can be considered if rea...",800 sqft,Super Built-up Area,₹23.5 Lac,"₹2,937 /sqft",2
Plot/Land,"Vidya Vihar Colony, Haridwar","Vidya Vihar Colony, Haridwar",Plot ka entrance ek gali se hai jo shuruaat mein 10 ft chaudi hai aur plot mein pahunchne tak 5ft chaudi hai.,"2,900 sqft",Plot Area,₹75 Lac,"₹2,563 /sqft",0
5 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Peacful atmosphere, near by main market, hospital, highway and bus stand. Located in well established area.","1,000 sqft",Plot Area,₹50 Lac,"₹5,000 /sqft",1
