Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"https maps app goo glfbqrichhjppspfvm6, Haridwar","https maps app goo glfbqrichhjppspfvm6, Haridwar","I am looking for buyer to purchase land available for sale in app goo glfbqrichhjppspfvm6, haridwar. Available at price of rs 1600000. It has plot area of 2550 sq ft. It is a freehold property","2,550 sqft",Plot Area,₹16 Lac,₹627 /sqft,0
Plot/Land,"Roshanabad, Haridwar",Siddharth Enclave,"Pentagon mall at 3 km 
Metro hospital at 1.5 km
Indane gas agency at 200 mt
Petrol pump at 100 mt
Police line at 500 mt
Stadium at 200 mt
Jawahar navodaya school at 500 mt
Govt. Nusing college 500 mt
Govt. Iti at 500 mt
Tehsil 1.5 km
Rto at 1.5 km
Railway station at 9.0 km
Bhel at 7 km","3,200 sqft",Plot Area,₹80 Lac,"₹2,500 /sqft",0
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","This plot is near to sidkul area.The plot can be used for rented,pg,guest house purpose. You can construct 40 rooms in four storied building on this plot and earn rs 120000 per month rent. Therefore this best opportunity for getting good return.","1,650 sqft",Plot Area,₹33 Lac,"₹2,000 /sqft",0
Plot/Land,"Kankhal, Haridwar",Raja Garden,Planning to build residence in haridwar? This plot in kankhal is the best deal for you. It spreads over 111473 sq.Ft. Super built up area. The property is guarded and secluded by boundary wall around it. Expected possession of property within 3 months. The owner of the property has leasehold entitlement over the land. The asking price is only 3000. Negotiable men road 30 footmen road 30 square ...,"111,473 sqft",Plot Area,₹33.44 Cr,"₹3,000 /sqft",0
2 BHK,"Jamalpur Kalan, Haridwar",Lucky Vihar,"2 room, hall, open kitchen, lobby, open terrace, 2 wheeler packing space inside the house, 30 feet road in front of house, 300 m inside from the main road",560 sqft,Plot Area,₹23 Lac,"₹4,107 /sqft",1
Plot/Land,"Shyampur, Haridwar","Shyampur, Haridwar","I have a land available for sale in shyampur, haridwar. Available at price of rs 1600000. It has plot area of 1250 sqft. It is a freehold property","1,250 sqft",Plot Area,₹16 Lac,"₹1,280 /sqft",0
2 BHK,"Haripur Kalan,haridwar,shivam apartment,flat no-3,near gopi dham",shivam apartment,"2 big bedroom with 2 bathroom,1 kitchen with 2 specious lobby,1 store room and one big balcony.Located on 1st floor,seperate plenty parking",850 sqft,Carpet Area,₹36 Lac,"₹4,235 /sqft",2
5 BHK,"Subhash Nagar, Haridwar","Subhash Nagar, Haridwar",Property is in prime location of the city.,"1,500 sqft",Plot Area,₹80 Lac,"₹5,333 /sqft",2
8 BHK,"Patanjali Yogpeeth, Haridwar",Shiv Ganga Enclave,"I have a house/villa available for sale in jwalapur, haridwar. Available at price of rs 80 lacs. It has plot area of 1950 sq ft. It has 8 bhk, 5 bathroom, 1 balcony.It is a freehold property","1,950 sqft",Plot Area,₹80 Lac,"₹4,102 /sqft",5
3 BHK,"Arihant Vihar, Haridwar",Khasra no. 550/2,"Spacious rooms, two side open balcony, well maintained facility,
Parking & lift facility available.","1,044 sqft",Super Built-up Area,₹55 Lac,"₹5,717 /sqft",2
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","1- East facing plot
2- 700 meter from denso chowk and 1.5 km from main haridwar-Roorkee road and has 18 foot road in east facing
3- Area is very fast developing","1,278 sqft",Plot Area,₹19.25 Lac,"₹1,500 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,"Dev bhumi haridwar. I just want to say... Just come and feel, har har mahadev","1,280 sqft",Super Built-up Area,₹52 Lac,"₹4,062 /sqft",2
2 BHK,"Jwalapur, Haridwar",No,"Interested to sell independent house/villa.It is a 5 to 10 years old  construction400 sq.Ft.(Builtup area) , 400 sq.Ft.(Plot area) is the area of the propertyit has spacious 2 bedrooms  and 1 bathroom. .Want to sell it for 32 lac.",400 sqft,Plot Area,₹32 Lac,"₹8,000 /sqft",1
3 BHK,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar",This property is located in hari ashrey colony near by patanjali yogpeeth ...Best for rental income,852 sqft,Plot Area,₹45 Lac,"₹5,046 /sqft",3
Plot/Land,"Badheri Rajputan, Haridwar","Badheri Rajputan, Haridwar","This property is situated nearby a group of society like anandam city,anandika city,arogyam, patanjali yogpeeth, crystal world and so many project.This is best for investment.I have an urgency of money so i am selling it in this low price.","17,975 sqft",Plot Area,₹90 Lac,₹501 /sqft,0
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",This is 2 side open beautiful plot with 15 feet and 12 feet roads in front and back side. This colony has electrical connection and abundance underground water supply. Ganga river canal is just 10 mins walk away. Construction of houses in few plots inside the colony are completed and families are living there. This colony is just 7 kms from sidcul industrial area and 4 kms from nh58. Widening o...,800 sqft,Plot Area,₹9 Lac,"₹1,125 /sqft",0
5 BHK,"SHIVALIK GANGA VIHAR NAVODYA NAGAR, Haridwar","SHIVALIK GANGA VIHAR NAVODYA NAGAR, Haridwar",Well maintained and well location,560 sqft,Plot Area,₹40 Lac,"₹7,142 /sqft",2
Plot/Land,"Bahadarabad, Haridwar",om vihar,"We have a land available for sale in bahadarabad, haridwar. Available at price of rs 1890000. It has plot area of 1260 sqft. It is a freehold property","1,260 sqft",Plot Area,₹18.9 Lac,"₹1,500 /sqft",0
3 BHK,"Roshanabad, Haridwar",Haridwar Inderlok Avas Yojna,Teen set makan hai pasand aaye tabhi call karna price negotiable hai,570 sqft,Plot Area,₹28.5 Lac,"₹5,000 /sqft",1
1 BHK,"Kankhal, Haridwar","Shri Ganga apartments, Purushottam vihar","It is located in ganga apartments and as it is gated community , security is good, 2 temples near by, hari ki paudi is 15 min waking",538 sqft,Built-up Area,₹22 Lac,"₹4,089 /sqft",1
Plot/Land,"Roshanabad, Haridwar",Shikhar Enclave,"Will become commercial in few time.
Main road facing (North-East)
Suitable for shop at ground floor.",830 sqft,Plot Area,₹16.6 Lac,"₹2,000 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,"This property adjoining to patanjali yog peeth and opposite crystal water park and crystal food court and very near to her ki podi 
(Only 10 min drive )","1,085 sqft",Carpet Area,₹50 Lac,"₹4,608 /sqft",2
6 BHK,"Jamalpur Kalan, Haridwar",Shivani Puram 2,Spacious rooms beautiful interiors,900 sqft,Plot Area,₹70 Lac,"₹7,777 /sqft",2
Plot/Land,"Salempur Mehdood-2, Vikas Nagar, Haridwar","Salempur Mehdood-2, Vikas Nagar, Haridwar",Near to sidcul industrial area,"2,500 sqft",Plot Area,₹52.5 Lac,"₹2,100 /sqft",0
2 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,"We are the proud owners of this 2 bhk apartment available in eminent aarogyam apartments, bahadarabad, haridwar. This semifurnished apartment is a 1-5 year old but has never been used in any way and renovations have also been done recently, priced approximately at rs. 4609 per sq. Ft. Or rs. 50 lakhs. It is a resale and a ready to move in apartment. The unit is located on the 6th floor and has ...","1,085 sqft",Super Built-up Area,Price on Request,,2
