Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar",A beautiful house in navodaya nagar roshnabad haridwar.,640 sqft,Plot Area,₹22.5 Lac,"₹3,515 /sqft",1
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,"Property is hrda & rera approved, 3 sides open with front road 30 fts & other 2 sides 20 fts each. Property is mere 200mts from haridwar delhi national highway with all major food chains like kfc, starbucks, and pizzahut on walking distance Strategic location makes it ideal for rental income, investment, or personal use, major institutions like patanjali university, 5 star hotels like sarovar p...","1,158 sqft",Plot Area,₹55 Lac,"₹4,749 /sqft",0
2 BHK,"Jwalapur, Haridwar",The Vardhman Jurs Country,Ideal society for those looking for a nice place to stay or enjoy summer holidays. Children school is attached to the boundary. Flat is park facing. The location is on delhi-Haridwar expressway. The society is 8 kms away from har ki pauri.,994 sqft,Carpet Area,₹35 Lac,"₹3,521 /sqft",2
4 BHK,"thdc navodya nagar, Haridwar","thdc navodya nagar, Haridwar",Front elevation ventilation space for parking,"1,433 sqft",Plot Area,₹65 Lac,"₹4,535 /sqft",4
2 BHK,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar","We have beautiful newly constructed independent houses, interested buyers can contact us.
We charge 1% as commission.",800 sqft,Plot Area,₹37 Lac,"₹4,625 /sqft",1
2 BHK,"Jwalapur, Haridwar",Shriram Enclave Ramanand,"East facing
Road in front of porch, uninterrupted view
Can do modifications as per buyer",805 sqft,Plot Area,₹28 Lac,"₹3,478 /sqft",1
3 BHK,"Kankhal, Haridwar",a1 sandesh nagar haridwar,"We are proud owners of house/villa available for sale in kankhal, haridwar. Available at price of rs 2.2 crores. It has plot area of 1500 sq ft. It has 1 bhk, 3 bathroom, 1 balcony.It is a freehold property","1,500 sqft",Plot Area,₹2.2 Cr,"₹14,666 /sqft",3
Plot/Land,"Hetampur, Haridwar","Hetampur, Haridwar","L shape land with 2 bhk with loby area 1102 swt 
On 550 sqft 2 bhk and 550 plot in lshape 
For more can contact direct owner","1,102 sqft",Plot Area,₹25 Lac,"₹2,268 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar",Plot near patanjali in front of crystal world only 350meter away from national highway,"1,600 sqft",Plot Area,₹30 Lac,"₹1,875 /sqft",0
3 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Near dps school, 
Near the market, 
 Bhel township, 
Haridwar temple
Pet friendly society
Safe environment","1,280 sqft",Plot Area,₹53 Lac,"₹4,140 /sqft",2
3 BHK,"Kankhal, Haridwar",sandesh Nagar kamkhal haridwar,My property location a1 sandesh nagar khamkhal hardware in property samarsaval is also,"1,500 sqft",Plot Area,₹2.2 Cr,"₹14,666 /sqft",2
3 BHK,"Arya Nagar, Haridwar","Arya Nagar, Haridwar","Three side open, near just 1 km new delhi national highway, near jwalapur railway station, near ganga nahar, har ki padi 3-4 km around, near haridwar tehsil etc.","1,150 sqft",Plot Area,₹80 Lac,"₹6,956 /sqft",1
1 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"Check out this 1 bhk apartment for sale in hero haridwar greens, a popular residential project that houses in-Demand flats in roshanabad, haridwar. Containing 1 bedroom(s), 1 bathroom and 1 balcony, this flat is spread over a super built up area of 485 sq.Ft. This flat lies on the top level of a 6 storey building. This 5-10 years old property is available for immediate possession as the project...",485 sqft,Super Built-up Area,₹13.99 Lac,"₹2,884 /sqft",1
