Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar","I have a land available for sale in kankhal, haridwar. Available at price of rs 4032000. It has plot area of 1260 sq ft. It is a freehold property","1,260 sqft",Plot Area,₹40.32 Lac,"₹3,200 /sqft",0
4 BHK,"Kankhal, Haridwar","Kankhal, Haridwar","Interested to sell independent house/villa.Placed at kankhal.Nice unfurnished enhancing decorit has spacious 4 bedrooms and 5 bathrooms. .Want to sell it for rs 8500000.It is a 5-10 years old property construction.Near to school,market and hospital etc.","2,205 sqft",Plot Area,₹85 Lac,"₹3,855 /sqft",5
3 BHK,"Shivalik Nagar, Haridwar","Shivalik Nagar, Haridwar","Interested to sell independent house/villa.It is a 5-10 years old property constructionplaced at shivalik nagar.Nice furnished enhancing decorit has spacious 3 bedrooms and 2 bathrooms. .Want to sell it for rs 60000000. Basement and shop is also there. Teakwood furniture,column and map based property. It is a solid constructed building.","2,604 sqft",Plot Area,₹6 Cr,"₹23,034 /sqft",2
Plot/Land,"Badheri Rajputan, Haridwar",Shubham City,"Gated society , hrda and rera approved, security, water, severage, near to nh58.","1,935 sqft",Plot Area,₹50.31 Lac,"₹2,600 /sqft",0
3 BHK,"dev builder, Haridwar",IDFL Dev Apartments Phase 2,"We are the proud owners of this 3 bhk apartment available in idfl dev apartments phase 2, dev builder, haridwar. This it is a and the unit is located on ground floor and has a carpet area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.",750 sqft,Carpet Area,₹20 Lac,"₹2,666 /sqft",2
Plot/Land,"Arya Nagar, Haridwar","Arya Nagar, Haridwar",Plot situated at arya nagar opposite indian bank lane near shivalik shishu jr high school,"1,800 sqft",Plot Area,₹1.9 Cr,"₹10,555 /sqft",0
10 BHK,"Salempur, Haridwar",shivam vihar,"We are the proud owners of this 9 bhk apartment available in shivam vihar, salempur, haridwar. This unfurnished apartment it is a and the unit is located on 4th floor and has a carpet area of 1500 sq.Ft. . It has 10 bathroom(s) and 1 balcony(s). The unit is located in a co-Operative society.","1,500 sqft",Carpet Area,₹1.4 Cr,"₹9,333 /sqft",10
5 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","In the house 
5 shops and 3 side open area","1,250 sqft",Plot Area,₹85 Lac,"₹6,800 /sqft",3
1 BHK,"Shantikunj, Haridwar",Ansals Anand Dham,It's well maintained society. Nice view,350 sqft,Carpet Area,₹11.5 Lac,"₹3,285 /sqft",1
Plot/Land,"Jwalapur, Haridwar","Jwalapur, Haridwar","Residential plot in sri chandra nagar haridwar, society is mostly constructed with very few vacant plots, surrounded by good neighborhood","1,540 sqft",Plot Area,₹70 Lac,"₹4,545 /sqft",0
3 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Looking for buyer to purchase our house/villa available for sale in navodaya nagar, haridwar. Available at price of rs 30 lacs. It has plot area of 810 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property",810 sqft,Plot Area,₹30 Lac,"₹3,703 /sqft",2
1 BHK,"Bahadarabad, Haridwar",Eminent Aarogyam Apartments,"Om ramaye namah , haridwar near about patanjali yogpeeth","1,100 sqft",Super Built-up Area,₹36 Lac,"₹4,000 /sqft",1
Plot/Land,"Kankhal, Haridwar","Kankhal, Haridwar","Hrda approved
30 feet road
Water connection
Street light 
Boundary
Gated society","1,150 sqft",Plot Area,₹30 Lac,"₹2,608 /sqft",0
Plot/Land,"Haripur Kalan, Haridwar","Haripur Kalan, Haridwar",Indipandit proparty picefull colony .Coming metro projects pass by u k govt likely holy plcee.Near by shanti kuj ashrm and bhart mata mandir and rishikesh national higway . Harkipuri in 5 km,"3,250 sqft",Plot Area,₹4 Cr,"₹12,307 /sqft",0
2 BHK,"Jwalapur, Haridwar",Kanak Nakshatra Vatika,"We have a house/villa available for sale in sidcul, haridwar. Available at price of rs 18 lacs. It has plot area of 550 sq ft. It has 2 bhk, 1 bathroom, 1 balcony.It is a freehold property",550 sqft,Plot Area,₹18 Lac,"₹3,272 /sqft",1
5 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","I have a builder floor available for sale in bahadarabad, haridwar. Available at price of rs 65 lacs. It has super area of 1000 sq ft. It has 5 bhk, 5 bathroom, 1 balcony.It is a freehold property","1,000 sqft",Super Built-up Area,₹65 Lac,"₹6,500 /sqft",5
11 BHK,"Sultanpur Majari, Haridwar","Sultanpur Majari, Haridwar","Currently, the rental income from the property is 40,000.","1,350 sqft",Plot Area,₹68 Lac,"₹5,037 /sqft",5
Plot/Land,"Suman Nagar, Haridwar",VIP Colony,"It is a 38*48 plot in vip colony, suman nagar, haridwar. Society is in the development phase with many reputed families already living. It is a peaceful place with lots of birds and greenery around. Mountains are also visible from the colony (Sometimes, snow mountains). Two highways are within 100m of the plot.","1,824 sqft",Plot Area,₹35 Lac,"₹1,918 /sqft",0
8 BHK,"Aneki Hetmapur, Haridwar","Aneki Hetmapur, Haridwar",This property is near dehradun biharigarh highway,"1,900 sqft",Plot Area,₹30 Lac,"₹1,578 /sqft",3
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","Near school and colleges and daily need shops,park,temple,petrol pump",760 sqft,Plot Area,₹12.92 Lac,"₹1,700 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar",Adiyogi Haridwar,"Plot available for sale
...............................................",756 sqft,Plot Area,₹32 Lac,"₹4,233 /sqft",0
2 BHK,"shakhar enclave phase 2 thdc roshnabad, Haridwar","shakhar enclave phase 2 thdc roshnabad, Haridwar","Temple 30 feet road gated society ,light water connection gas pipe line .Near schools bml munjal,
Oxford","1,150 sqft",Built-up Area,₹35 Lac,"₹3,043 /sqft",1
Plot/Land,"Kankhal, Haridwar",Raja Garden,"We have a land available for sale in kankhal, haridwar. Available at price of rs 33.44 crores. It has plot area of 111763 sq ft. It is a freehold property","111,763 sqft",Plot Area,₹33.44 Cr,"₹2,992 /sqft",0
4 BHK,"vivek vihar colony, Haridwar","vivek vihar colony, Haridwar","The property is just 3km from haridwar station and jwalapur station. Close to ranipur more locality full of commercial properties. Close to bhel colony, ganga ghats, school colleges, hospital, banks, restaurants, petrol pumps, well connected.",420 sqft,Plot Area,₹46 Lac,"₹10,952 /sqft",3
