Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Roshanabad is one of haridwar's most sought after destination for residential houses and this 2 bhk house in roshanabad is your opportunity to be a part of this community. This house occupies a super built up area of 500 sq.Ft. And contains 2 bedrooms, 1 bathroom and 1 balcony. There is 1 open parking available with this house. Being a ready to move house, you can expect immediate possession of...",500 sqft,Plot Area,₹15 Lac,"₹3,000 /sqft",1
3 BHK,"Salempur, Haridwar","Salempur, Haridwar","This 3 bhk house for sale in salempur, a well planned locality in haridwar, is ideal for a family that is looking for complete peace of mind. Containing 3 bedrooms, 2 bathrooms and 1 balcony, this independent house is spread over a super built up area of 700 sq.Ft. This 3 bhk house comes attached with 1 open parking for your vehicle(s). As the property is already ready to move, so you can easil...",700 sqft,Plot Area,₹32 Lac,"₹4,571 /sqft",2
Plot/Land,Laxer road Haridwar,bhagirathi vihar,"Check out this plot in laxer road haridwar, an ideal destination to build your dream residence. The plot is around super built up area of 2500 sq.Ft. In size. Up to 3 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 67.5 lac. The ow...","2,500 sqft",Plot Area,₹67.5 Lac,"₹2,700 /sqft",0
Plot/Land,"Roshanabad, Haridwar",Kanha enclave,Planning to purchase a plot in navodaya nagar haridwar? This plot in navodaya nagar roshanabad is situated in one of the excellent locations of the city. It spreads over 1220 sq.Ft. Super built up area. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The property belongs to owner t...,"1,220 sqft",Plot Area,₹18.3 Lac,"₹1,500 /sqft",0
Plot/Land,"Roshanabad, Haridwar",Sikhar Enclave,"Looking for a plot in a prime location of haridwar? This plot in navodaya nagar roshanabad is the best deal for you. It spreads over 700 sq.Ft. Super built up area. Construction on this property can be easily done upto 3 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The type of ownership is freeh...",700 sqft,Plot Area,₹12.6 Lac,"₹1,800 /sqft",0
Plot/Land,"Mayapur, Haridwar",Roshnabad,"This plot in navodaya nagar provides you great opportunity to build a fabulous residence in haridwar. The plot is around super built up area of 772 sq.Ft. In size. Ownership of this property provides you entitlement to construct upto 3 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the property has freehold en...",772 sqft,Plot Area,₹10 Lac,"₹1,295 /sqft",0
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","Check out this plot for sale in sidcul, one of the best locations in haridwar. It spans over spectacular 1125 sq.Ft. Super built up area. Up to 3 floors can be easily built on this land. The property is enclosed by boundary wall. Possession of land can be secured immediately. The owner of the property has freehold entitlement over the land. The asking price is only 18 lac. The residential plot ...","1,125 sqft",Plot Area,₹18 Lac,"₹1,600 /sqft",0
Plot/Land,"Mayapur, Haridwar",Kanha Enclave,Planning to build residence in haridwar? This plot in navodaya nagar is the best deal for you. It's a 2257 sq.Ft. Super built up area property. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is only...,"2,257 sqft",Plot Area,₹30.47 Lac,"₹1,350 /sqft",0
3 BHK,"Mayapur, Haridwar",sidcul,"Looking to buy an independent house in haridwar? Do check out this 3 bhk house in navodaya nagar, which is an ideal choice for a family. The house has over super built up area of 800 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 1 balcony. Your vehicle(s) can be easily parked as this house comes with 1 open parking. As the property is already ready to move, so you can easily move into this ...",800 sqft,Plot Area,₹22 Lac,"₹2,750 /sqft",2
2 BHK,"Patanjali Yogpeeth, Haridwar",suraksha,"Hrda and rera approved township suraksha enclave haridwar near patanjali yogpeeth 1 
Bank loan available 
30 ft roads 
4 parks 
Temple 
Already family's are living in this socity",800 sqft,Plot Area,₹36 Lac,"₹4,500 /sqft",2
2 BHK,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","Rng homes offers hrda and rera approved society suraksha enclave haridwar
Bank loan available
Family's are already living 
Near patanjali yogpeeth haridwar",900 sqft,Plot Area,₹34 Lac,"₹3,777 /sqft",2
2 BHK,"Santarshah, Haridwar","Santarshah, Haridwar","Rng homes offers independent villa's in hrda rera approved gated township suraksha enclave behind patanjali yogpeeth phase 1 haridwar, suraksha enclave have smart facilities like gated township, provision for temple, 30 ft roads, 4 kids play ground parks light, waterwater ex. 
Special discount for armed forces",774 sqft,Plot Area,₹36 Lac,"₹4,070 /sqft",2
2 BHK,"Patanjali Yogpeeth, Haridwar",RNG Homes,"Rng homes offer smart house near patanjali yogpeeth 1 haridwar nh 58 delhi road 
Smart house full of all luxury
Bank loan available
Pm awashiya yojana available
Call for book pradeep choudhary",900 sqft,Plot Area,₹42 Lac,"₹4,222 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",RNG Homes,"Adiyogi rng homes offers hrda& rera approved ,gated township with security 
Bank loan available 
Ready to shift aminities at patanjali nh 58 
Just behind water park crystal world .
Call now 
Pradeep salan",800 sqft,Plot Area,₹25 Lac,"₹2,777 /sqft",0
Plot/Land,"Tehri visthapit colony,behind payal cinema, Haridwar","Tehri visthapit colony,behind payal cinema, Haridwar","Resale property with registry and mutation, close to market","1,225 sqft",Plot Area,₹29.4 Lac,"₹2,400 /sqft",0
1 BHK,"Shantikunj, Haridwar",Multistorie,"A 1 bedroom resale flat, located in shantikunj, haridwar, is available. It is a ready to move in semi-Furnished flat located in multistorie. Situated in a prominent locality, it is a 1-5 year old, which is in its prime condition. The flat is on the 4th floor of the building. Aesthetically designed, this property has 1 bathroom(s). The property also has 2balcony(s). The flat has a good view of t...",500 sqft,Super Built-up Area,₹16.5 Lac,"₹3,200 /sqft",1
7 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","Bahadrabad area, 950 sqft area, very near to highway, 200 families are living, all the facility are provide, like market, school, park, hospital",962 sqft,Built-up Area,₹41 Lac,"₹4,261 /sqft",4
Plot/Land,"Siddarth enclave Navodaya Nagar, Haridwar","Siddarth enclave Navodaya Nagar, Haridwar","Good plot with lowest price, ideal plot","1,231 sqft",Plot Area,₹19.7 Lac,"₹1,600 /sqft",0
5 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"This villa is located at antariksh nri city, sidcul haridwar.Very prime location, gated society with all amenities. Pentagon mall and 4 star hotels infront of this society. Society is surrounded by 100 ft road.
Gated society with all security.
Prime location","1,350 sqft",Plot Area,₹1.9 Cr,"₹14,074 /sqft",4
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","Spacious, ready to build plot in bahadarabad, near pathri power house , haridwar. It spreads over 1410 sq.Ft. Super built up area. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is only  14.1 lac.","1,410 sqft",Plot Area,₹14.1 Lac,"₹1,000 /sqft",0
1 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"A beautiful 1 bhk apartment in sidcul nh 73, haridwar. The property is a part of hero greens. It is a resale property in a promising locality. This well-Designed new property is ready to move in. It is located on the 1st floor. The property ownership is freehold type and has a super built-Up area of 485. 0 sq. Ft. The price of the property is estimated at rs. 12. 5 lakhs and per unit area cost ...",485 sqft,Super Built-up Area,₹12.5 Lac,"₹2,577 /sqft",1
2 BHK,"Naya Gaon, Haridwar",Jurs Country,"2 bhk resale flat is available in the promising locality of jurs country nh 58highway, haridwar. It is a ready to move in spacious flat and is located on the 4th floor. Every single detail of the flat is carefully designed. The apartment is priced at rs. 28 lakhs (Rs. 3181 per sq. Ft. ). It is a freehold property, with a super built-Up area of 880. 0 sq. Ft. It has 2 bathroom(s). The flat compr...",880 sqft,Super Built-up Area,₹30 Lac,"₹3,181 /sqft",2
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar",This plot is at raja garden area,"1,200 sqft",Plot Area,₹26 Lac,"₹2,166 /sqft",0
3 BHK,"Jwalapur, Haridwar",The Petalwoods,"Fresh property ,newly constructed on main delhi highway nh 58.Very near to har kee poudi, this property is in the main city of haridwar","1,596 sqft",Super Built-up Area,₹65 Lac,"₹3,759 /sqft",2
3 BHK,Nh 58 Jurs Country Haridwar Delhi,Jurs Country,"3 bhk resale flat is available in the promising locality of nh 58 jurs country delhi, haridwar. It is a ready to move in spacious flat and is located on the 1st floor. Every single detail of the flat is carefully designed. The apartment is priced at rs. 40 lakhs (Rs. 3305 per sq. Ft. ). It is a freehold property, with a super built-Up area of 1210. 0 sq. Ft. It has 2 bathroom(s). The flat compr...","1,210 sqft",Super Built-up Area,₹40 Lac,"₹3,305 /sqft",2
