Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Roorkee, Haridwar",Residential House,"Property code:1465211 
Asset schedule
A property residential house bearing its khasra no. 1529 & 1523 situated at village salempur rajputan, roorkee tehsil roorke distt. Haridwar",547 sqft,Plot Area,₹12 Lac,"₹2,193 /sqft",2
Plot/Land,"Bahadrabad Bypass, Haridwar",Shree hari Enclave Bahadrabad Bypass,"The main usp for our project all plots are 2 or 3 side open this is the first in haridwar including all of amenities such as 40 feet roads, lush green parks, commercial complex, community centre, temple, etc.",950 sqft,Plot Area,₹36.1 Lac,"₹3,800 /sqft",0
4 BHK,"Sidcul NH 73, Haridwar",Antriksh NRI City,"1080 sqfeet east facing beautiful villa in haridwar's best-Located society, antriksh nri city, is now on sale. This charming property offers a perfect blend of modern amenities and serene surroundings, making it an ideal choice for those seeking a tranquil living space. The villa boasts a spacious layout that maximizes natural light and ventilation, creating a bright and airy atmosphere that is...","1,080 sqft",Plot Area,₹1.25 Cr,"₹11,574 /sqft",4
1 BHK,"Sector 5A, Haridwar",Deep Ganga Apartments,"1 bhk 745 sq feet semi-Furnished park view sunlight facing apartment in deep ganga society, haridwar, is currently available for sale. This cozy apartment offers a perfect blend of comfort and convenience, making it an ideal choice for individuals seeking a tranquil living space. Situated in the peaceful surroundings of deep ganga society, residents can enjoy scenic park views and ample natural...",745 sqft,Super Built-up Area,₹24 Lac,"₹3,221 /sqft",1
1 BHK,"Sidcul NH 73, Haridwar",Deep Ganga Apartment,"1 bhk 750 sq feet semifurnished flat in deep ganga society is now available for sale! This cozy living space offers a perfect blend of comfort and convenience. With an open floor plan that maximizes the use of space, this flat provides a welcoming atmosphere for residents to relax and unwind. The semi-Furnished state allows the new owners to customize and personalize the interior according to t...",750 sqft,Carpet Area,₹24 Lac,"₹3,200 /sqft",1
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"2 bhk 810 square feet well-Furnished apartment with a beautiful view on the 8th floor is now up for sale in the serene surroundings of mantra happy homes society in haridwar. This cozy and elegant apartment offers a perfect blend of comfort and style, making it an ideal living space for individuals and families alike. As you step into this charming abode, you are greeted by a spacious living ar...",810 sqft,Super Built-up Area,₹27.99 Lac,"₹3,455 /sqft",2
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"2 bhk 101 sq feet flat on the 2nd floor is now available for sale in the picturesque mantra happy homes society in haridwar. This cozy and comfortable living space offers a tranquil abode for those seeking a peaceful retreat amidst the serene surroundings of haridwar. With its thoughtful design and modern amenities, this flat provides the perfect blend of convenience and luxury for its resident...","1,010 sqft",Super Built-up Area,₹33.99 Lac,"₹3,365 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Adiyogi,"Are you looking to invest in real estate in the serene and spiritual city of haridwar? Look no further than the plots available in adiyogi society. Nestled in the lap of nature, adiyogi society offers a unique opportunity to own a piece of land in a vibrant and growing community. Imagine waking up to the sound of the river ganges flowing nearby, surrounded by lush greenery and the tranquility o...",900 sqft,Plot Area,₹41.31 Lac,"₹4,590 /sqft",0
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"Looking for a perfect place to call home? Look no further! Introducing a stunning 2bhk apartment nestled on the third floor of the esteemed mantra happy homes society. This spacious and inviting residence promises you a harmonious blend of comfort and convenience. As soon as you step inside, you'll be greeted by a welcoming ambiance that exudes modern elegance and style. The thoughtfully design...",810 sqft,Super Built-up Area,₹24 Lac,"₹2,962 /sqft",2
3 BHK,"Jamalpur Kalan, Haridwar","Jamalpur Kalan, Haridwar",Best construction quality and good location,840 sqft,Plot Area,₹35 Lac,"₹3,181 /sqft",2
