Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Patanjali Yogpeeth, Haridwar",Hari Ashray Nagar,"This 2 bhk house for sale in patanjali yogpeeth is an ideal abode for a family. Even better, it is situated in one of the prominent localities of haridwar. Containing 2 bedrooms, 2 bathrooms and 1 balcony, this independent house is spread over a super built up area of 1085 sq.Ft. The owner of the house also gets 1 covered parking slot(s) to park their car safely. This residential property is st...","1,085 sqft",Plot Area,₹58 Lac,"₹5,345 /sqft",2
3 BHK,"Kankhal, Haridwar",Gayatrilok,"Great location, gated complex, both balconies face south to south west for expansive sunlight access. Both balconies have full grilles for security. Located off roorkee-Haridwar rd, very close to the canal with numerous ghats and access peaceful walk on canal road. Close to ganga ghat as well.","1,782 sqft",Super Built-up Area,₹55 Lac,"₹5,059 /sqft",3
3 BHK,"lal mandir, Haridwar","lal mandir, Jawalapur","3 bed rooms ,2 toilet,open drawing room,one kitchen,20ft road on front on easy car parking","1,350 sqft",Plot Area,₹75 Lac,"₹5,555 /sqft",2
2 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,It has 2 toliets & 2 bathrooms.,"1,081 sqft",Super Built-up Area,₹31 Lac,"₹2,775 /sqft",2
Plot/Land,"gurukul kangri, Haridwar","gurukul kangri, Haridwar","200m from gurukul kangri university 
1km away from highway","24,000 sqft",Plot Area,₹3.6 Cr,"₹1,500 /sqft",0
1 BHK,"Haripur Kalan, Haridwar","Haripur Kalan, Haridwar",Property is well maintained ...,300 sqft,Plot Area,₹14 Lac,"₹4,666 /sqft",1
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","I have a land available for sale in patanjali yogpeeth, haridwar. Available at price of rs 41.3 lacs. It has plot area of 100 sq yards. It is a freehold property",900 sqft,Plot Area,₹41.3 Lac,"₹4,589 /sqft",0
Plot/Land,"Santarshah, Haridwar",Hero Downtown Commercial Plots,"Near by patanjali yogi peeth
Walking distance by har ki podi",900 sqft,Plot Area,₹4 Lac,₹444 /sqft,0
4 BHK,"Gyan lok colony, Haridwar","Gyan lok colony, Haridwar",Good connection from haridwar railway station & located at kankhal.,"1,340 sqft",Plot Area,₹85 Lac,"₹6,343 /sqft",1
1 BHK,"Sidcul NH 73, Haridwar",Hero Gharaunda,"1 bhk builder floor in sidcul nh 73, haridwar available for sale. Equipped with 1 bedroom, 1 bathroom and 1 balcony. It's an unfurnished property. Carpet area of the property is 500 sq.Ft. It is located on 2nd floor of 3 storey building. This 1-5 years old builder floor is ready to move in. It is a power of attorney property. The price of this property is 15 lac. Minor negotiations can be consi...",500 sqft,Carpet Area,₹15 Lac,"₹3,000 /sqft",1
