Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"ip 2 hari chowk, Haridwar",gharaunda,"We are the proud owners of this 2 bhk apartment available in gharaunda, ip 2 hari chowk, haridwar. This it is a and the unit is located on 2nd floor and has a super built-Up area of 860 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is leasehold type.",860 sqft,Super Built-up Area,₹24 Lac,"₹2,790 /sqft",2
Plot/Land,"Bahadarabad, Haridwar",shiv vihar calony,"Check out this plot for sale in bhadrabad, one of the best locations in haridwar. It spans over spectacular 2263 sq.Ft. Super built up area. Here, a solid foundation can easily withhold construction of 4 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received from mon, 01 dec 2031. The property is owned under freehold contr...","2,263 sqft",Plot Area,₹56.58 Lac,"₹2,500 /sqft",0
2 BHK,"Sidcul NH 73, Haridwar",Hero Gharaunda,Pleasant and peaceful place with good ventilation,860 sqft,Super Built-up Area,₹23 Lac,"₹2,674 /sqft",2
8 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","Interested to sell independent house/villa.Placed at jwalapur.Nice furnished enhancing decorit has spacious 8 bedrooms and 5 bathrooms. .3220.00 sq.Ft.(Builtup area) , 1540.00 sq.Ft.(Plot area) is the area of the propertywant to sell it for rs 7500000.It is a 10  years old property construction. There are 4 kitchens.","1,540 sqft",Plot Area,₹75 Lac,"₹4,871 /sqft",5
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","I have a land available for sale in shiva enclave,sidcul, haridwar. Available at price of rs 60 lacs. It has plot area of 2850 sq ft most suitable place for pg/ rental rooms .It is a freehold and approved property from hrda.","2,850 sqft",Plot Area,₹60 Lac,"₹2,105 /sqft",0
4 BHK,"Kankhal, Haridwar","Kankhal, Haridwar","2 facing house 
1 shop attached 
Near kankhal chowki
Walking distance from daksh mandir, kankhal","2,306 sqft",Plot Area,₹1.25 Cr,"₹5,419 /sqft",2
2 BHK,"Jwalapur, Haridwar",subhash nagar,Well constructed house build by a civil engineer for himself,"2,000 sqft",Plot Area,₹75 Lac,"₹3,750 /sqft",2
Plot/Land,"Bahadarabad, Haridwar",KK Shiv Ganga Vihar Phase 1,Old nh were nearby 450mtr and national highway were nearby 1km hospital near 200 mtr school near 150 mtr grocery store 50 meter near by the plot,"2,263 sqft",Plot Area,₹56.58 Lac,"₹2,500 /sqft",0
Plot/Land,"Bahadarabad, Haridwar",Krishna Enclave Bahadarabad,"We have a land available for sale in rawali mahdood, haridwar. Available at price of rs 2900000. It has plot area of 1450 sqft. It is a freehold property","1,392 sqft",Plot Area,₹25 Lac,"₹1,800 /sqft",0
1 BHK,"Kankhal, Haridwar",Gayatri Lok Apartment,The studio apartment is just next to the temple within the complex and offers a direct view of the holy ganges river. The apartment has an independent balcont which is enclosed by an iron grill and has a covering in the form of a gi sheet. The main entrance to the apartment also has a sturdy iron gate. One wall of the apartment has coloured glass ornamentation.,432 sqft,Carpet Area,₹15 Lac,"₹3,472 /sqft",1
