Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
9 BHK,"Sidcul , Haridwar",Mantra Happy Homes,"Gated society, 9 bhk villa with full security, 2 parks, swimming pool, club house, close to pentagon mall, metro hospital, markets","1,482 sqft",Plot Area,₹1.3 Cr,"₹9,446 /sqft",6
Plot/Land,"Sidcul , Haridwar",Mantra Happy Homes,"Gated society with all amenities, freehold property","1,324 sqft",Plot Area,₹60.9 Lac,"₹4,600 /sqft",0
2 BHK,"Jwalapur, Haridwar",The Petalwoods,"Hrda approved gated society on main delhi highway nh 58 ,free hold property with loan facility.","1,050 sqft",Super Built-up Area,₹34.99 Lac,"₹3,332 /sqft",2
Plot/Land,"Roshanabad, Haridwar",Hero Haridwar Greens,"Free hold plots, close to school, about 1000 families are living.Gated society with all amenities are there","1,188 sqft",Plot Area,₹47.52 Lac,"₹3,107 /sqft",0
Plot/Land,"Jwalapur, Haridwar",Navparas Sivada Garden,"Plots are available in one of the best hrda approved society of haridwar in jwalapur near delhi highway. Best society, best deal.","1,500 sqft",Plot Area,₹75 Lac,"₹5,000 /sqft",0
2 BHK,"Sidcul , Haridwar",Mantra Happy Homes,Beautiful apartment is available for sale in one of the best society of sidcul haridwar uttarakhand. All facilities are available and operational in society.,810 sqft,Super Built-up Area,₹24.25 Lac,"₹2,993 /sqft",2
1 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"Hey, if you are looking for a best investment in haridwar in low budget, than we have a very good opportunity for you with rental of 10k per month. The society is developed by hero realty. 1bhk full furnished apartment is available for sale in hero haridwar greens.",485 sqft,Super Built-up Area,₹13.99 Lac,"₹2,884 /sqft",1
Plot/Land,"Badheri Rajputan, Haridwar",Aura Villa's,"Location: On delhi-Haridwar 6lane highway nh 334 (Old nh58) near crystal worlds water park ( Patanjali yogpeeth) Projects amenities: Total 28 bigha land area. Grand entrance with 30ft wide internal roads. Gated society with 24x7 security with cctv Well-Designed land scaping green park with walking area & kids play area,temple, over head tank Water supply, sewer line and water drainage system El...","1,100 sqft",Plot Area,₹38.5 Lac,"₹3,500 /sqft",0
Plot/Land,"Patanjali Yogpeeth, Haridwar","Patanjali Yogpeeth, Haridwar","Location: On delhi-Haridwar 6lane highway nh 334 (Old nh58) near crystal worlds water park ( Patanjali yogpeeth) Projects amenities: Total 28 bigha land area. Grand entrance with 30ft wide internal roads. Gated society with 24x7 security with cctv Well-Designed land scaping green park with walking area & kids play area,temple, over head tank Water supply, sewer line and water drainage system El...","1,125 sqft",Plot Area,₹39.38 Lac,"₹3,500 /sqft",0
1 BHK,"Suman Nagar, Haridwar","Suman Nagar, Haridwar",A beautiful house in suman nagar bahadrabad haridwar,500 sqft,Plot Area,₹14.5 Lac,"₹2,900 /sqft",1
