Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
3 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Do you wish to buy an independent house in roshanabad, haridwar. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a super built up area of 600 sq.Ft. And contains 3 bedrooms, 2 bathrooms and 2 balconies. The houses comes with dedicated 1 open parking space(s) where you can easily park your vehicle(s). As the property is already ready to mov...",600 sqft,Plot Area,₹32 Lac,"₹5,333 /sqft",2
Plot/Land,"Sidcul , Haridwar",Navodaya Nagar,"Planning to build residence in haridwar? This plot in sidcul is the best deal for you. The plot is around super built up area of 900 sq.Ft. In size. Here, a solid foundation can easily withhold construction of 3 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. The owner of the property has freehold entit...",900 sqft,Plot Area,₹10.8 Lac,"₹1,200 /sqft",0
3 BHK,"Kankhal, Haridwar",Raja Garden,"Planning to buy an individual house in haridwar. Then you should definitely check out this 3 bhk house for sale in kankhal, a well-Planned and well-Connected locality in haridwar. The house has over super built up area of 450 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 1 balcony. Your vehicle(s) can be easily parked as this house comes with 1 open parking. This 0-1 year old property is av...",450 sqft,Plot Area,₹20 Lac,"₹4,444 /sqft",2
3 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Check out this 3 bhk house for sale in sidcul, a popular residential locality that contains many of the in-Demand properties in haridwar. Constructed on a super built up area of 680 sq.Ft., this house comprises 3 bedrooms, 1 bathroom and 1 balcony. As the property is already ready to move, so you can easily move into this 0-1 year old house. This house is owned under freehold contract. By payin...",680 sqft,Plot Area,₹22 Lac,"₹3,235 /sqft",1
Plot/Land,"Roshanabad, Haridwar",Navodaya Nagar,"Check out this plot for sale in roshanabad, one of the best locations in haridwar. This 600 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. Currently the nature of ownership of the property is fre...",600 sqft,Plot Area,₹7.2 Lac,"₹1,200 /sqft",0
3 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Looking to buy an independent house in haridwar? Do check out this 3 bhk house in sidcul, which is an ideal choice for a family. Constructed on a super built up area of 1500 sq.Ft., this house comprises 3 bedrooms, 2 bathrooms and 1 balcony. This 3 bhk house comes attached with 1 open parking for your vehicle(s). This 0-1 year old property is available for immediate possession as the house is r...",900 sqft,Plot Area,₹40 Lac,"₹4,444 /sqft",2
Plot/Land,"Patanjali Yogpeeth, Haridwar",Hero Alaknanda,"Plot for sale in patanjali yogpeeth is available in haridwar. This locality resonates with your modern lifestyle. It's a 120 sq.Yards super built up area property. Construction on this property can be easily done upto 2 floors. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for 24 lac. This plo...","1,080 sqft",Plot Area,₹19 Lac,"₹1,759 /sqft",0
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar",Planning to build residence in haridwar? This plot in sidcul is the best deal for you. It spans over spectacular 1800 sq.Ft. Super built up area. This property allows you to construct upto 3 floors. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is only 27 lac. Negotiable. This plot is facing the east direction. Th...,"1,800 sqft",Plot Area,₹27 Lac,"₹1,500 /sqft",0
2 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Are you planning to buy your dream home? You can consider this well-Built 2 bhk house for sale in roshanabad, haridwar and make it your new address. This house occupies a super built up area of 500 sq.Ft. And contains 2 bedrooms, 1 bathroom and 1 balcony. Your vehicle(s) can be easily parked as this house comes with 1 open parking. This is a ready to move house, which is 0-1 year old. The owner...",500 sqft,Plot Area,₹17 Lac,"₹3,400 /sqft",1
3 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"This 3 bhk flat is located in hero haridwar greens, which houses some of the most spacious flats in roshanabad, haridwar. The flat occupies a super built up area of 1525 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. This flat is situated on the 3rd floor of this 7 floors tall residential building. This 1-5 years old property is available for immediate possession as the projec...","1,750 sqft",Super Built-up Area,₹60 Lac,"₹3,428 /sqft",2
2 BHK,"Bahadarabad, Haridwar",Raghunath Residency,"Looking to buy an independent house in haridwar? Do check out this 2 bhk house in bahadarabad, which is an ideal choice for a family. Containing 2 bedrooms, 2 bathrooms and 1 balcony, this independent house is spread over a super built up area of 1002 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily park your vehicle(s). This is a ready to move h...","1,002 sqft",Plot Area,₹40 Lac,"₹3,992 /sqft",2
2 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"Check out this 2 bhk apartment for sale in hero haridwar greens, a popular residential project that houses in-Demand flats in roshanabad, haridwar. Containing 2 bedroom(s), 1 bathroom and 2 balconies, this flat is spread over a built up area of 950 sq.Ft. The flat has a total of 6 floors and this property is situated on 2nd floor. This 0-1 year old property is available for immediate possession...",950 sqft,Built-up Area,₹32 Lac,"₹3,368 /sqft",1
Plot/Land,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","Plot for sale in bahadarabad is available in haridwar. This locality resonates with your modern lifestyle. This 700 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Ownership of this property provides you entitlement to construct upto 3 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. Cur...",700 sqft,Plot Area,₹7 Lac,"₹1,000 /sqft",0
6 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Looking to buy an independent house in haridwar? Do check out this 6 bhk house in navodaya nagar roshanabad, which is an ideal choice for a family. The house has over super built up area of 2555 sq.Ft. And comes with 6 bedrooms, 4 bathrooms and more than 3 balconies. The houses comes with dedicated 4 covered and 4 open parking space(s) where you can easily park your vehicle(s). This villa is cu...","2,555 sqft",Plot Area,₹85 Lac,"₹2,935 /sqft",4
3 BHK,"Roshanabad, Haridwar","Roshanabad, Haridwar","Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in roshanabad, haridwar seems to be an ideal choice for a peaceful abode for a family. Constructed on a super built up area of 10000 sq.Ft., this house comprises 3 bedrooms, 2 bathrooms and 1 balcony. This 3 bhk house comes attached with 1 covered and 1 open parking for your vehicle...","1,000 sqft",Plot Area,₹32 Lac,"₹3,200 /sqft",2
Plot/Land,"Roshanabad, Haridwar","Roshanabad, Haridwar","To build a splendid residence, this plot in navodaya nagar roshanabad, haridwar is the best fit for you. It spreads over 700 sq.Ft. Super built up area. Construction on this property can be easily done upto 3 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property is owned under freehold contr...",700 sqft,Plot Area,₹10.5 Lac,"₹1,500 /sqft",0
3 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","On the lookout for a spacious house in haridwar? Go for this 3 bhk house for sale in navodaya nagar sidcul, a well-Connected locality within haridwar. The floor plan additionally contains 3 bedrooms, 1 bathroom and 1 balcony. All in all, the independent house is spread over a super built up area of 700 sq.Ft. This 3 bhk house comes attached with 1 open parking for your vehicle(s). This 0-1 year...",700 sqft,Plot Area,₹23 Lac,"₹3,285 /sqft",1
3 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","This 3 bhk house for sale in jwalapur, a well planned locality in haridwar, is ideal for a family that is looking for complete peace of mind. The floor plan additionally contains 3 bedrooms, 2 bathrooms and 1 balcony. All in all, the independent house is spread over a super built up area of 700 sq.Ft. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can easily par...",700 sqft,Plot Area,₹23 Lac,"₹3,285 /sqft",2
3 BHK,"Bahadarabad, Haridwar","Bahadarabad, Haridwar","Do you wish to buy an independent house in bahadarabad, haridwar. This 3 bhk house looks like an ideal choice for somebody looking for peace of mind. The house has over super built up area of 800 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 1 balcony. There is 1 covered & 1 open parking available with this house. This is a ready to move house, which is 0-1 year old. The ownership right of ...",800 sqft,Plot Area,₹26 Lac,"₹3,250 /sqft",2
3 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Looking to buy an independent house in haridwar? Do check out this 3 bhk house in sidcul, which is an ideal choice for a family. The house has over super built up area of 700 sq.Ft. And comes with 3 bedrooms, 1 bathroom and 1 balcony. The owner of the house also gets 1 open parking slot(s) to park their car safely. As the property is currently under construction, you can expect to get the posse...",700 sqft,Plot Area,₹24 Lac,"₹3,428 /sqft",1
4 BHK,"Shantikunj, Haridwar","Shantikunj, Haridwar","Do you wish to buy an independent house in shantikunj, haridwar. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. This house occupies a super built up area of 1200 sq.Ft. And contains 4 bedrooms, 3 bathrooms and 2 balconies. The owner of the house also gets 1 covered and 1 open parking slot(s) to park their car safely. Being a ready to move house, you can expe...","1,200 sqft",Plot Area,₹35 Lac,"₹2,916 /sqft",3
3 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Sidcul is one of haridwar's most sought after destination for residential houses and this 3 bhk house in sidcul is your opportunity to be a part of this community. The house has over super built up area of 680 sq.Ft. And comes with 3 bedrooms, 1 bathroom and 1 balcony. This 3 bhk house comes attached with 1 open parking for your vehicle(s). This is a ready to move house, which is 0-1 year old. ...",680 sqft,Plot Area,₹21 Lac,"₹3,088 /sqft",1
Plot/Land,"Sidcul , Haridwar","Sidcul , Haridwar","Plot for sale in sidcul is available in haridwar. This locality resonates with your modern lifestyle. It's a 2100 sq.Ft. Super built up area property. Here, a solid foundation can easily withhold construction of 3 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. Currently the nature of ownership of the p...","2,100 sqft",Plot Area,₹31.5 Lac,"₹1,500 /sqft",0
3 BHK,"Sitapur, Haridwar","Sitapur, Haridwar","Sitapur is one of haridwar's most sought after destination for residential houses and this 3 bhk house in sitapur is your opportunity to be a part of this community. Constructed on a super built up area of 700 sq.Ft., this house comprises 3 bedrooms, 1 bathroom and 1 balcony. The owner of the house also gets 1 open parking slot(s) to park their car safely. Being a ready to move house, you can e...",700 sqft,Plot Area,₹27 Lac,"₹3,857 /sqft",1
3 BHK,"Raja Garden, Haridwar",Ganpati Dham Phase 3,"Check out this 3 bhk house for sale in raja garden, a popular residential locality that contains many of the in-Demand properties in haridwar. The house has over super built up area of 860 sq.Ft. And comes with 3 bedrooms, 2 bathrooms and 1 balcony. Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house i...",860 sqft,Plot Area,₹55 Lac,"₹6,395 /sqft",2
