Configuration,Address,Name,Description,Area,Area type,Price,Price Unit,No of Bathroom
2 BHK,"Suman Nagar, Haridwar",Maa Raj Rajeshwari,Residential apartment for sell.Located in suman nagar.The property has 2 bedrooms with 1 bathroom .Available at an expected price of rs 1350000.Located on ground floor out of the 5 the property comes with a good construction quality which ages 0-1 years old property,540 sqft,Carpet Area,₹13.5 Lac,"₹2,500 /sqft",1
Plot/Land,"Suman Nagar, Haridwar","Suman Nagar, Haridwar","It is located in suman nagar, fadrabad haridwar","2,080 sqft",Plot Area,₹9 Lac,₹432 /sqft,0
Plot/Land,"Jagjeetpur, Haridwar","Jagjeetpur, Haridwar",Ready for industrial estate in uttarakhand,"2,526,479 sqft",Plot Area,₹7.5 Cr,₹30 /sqft,0
Plot/Land,"Motichur, Haridwar","Motichur, Haridwar","Opposite shantikunj haridwar, 100 metres from nh 34","1,000 sqft",Plot Area,₹15 Lac,"₹1,500 /sqft",0
4 BHK,"Arya Nagar, Haridwar","Arya Nagar, Haridwar","Property in the city centre, near ganga ji, walking distance from the main road, very near to railway station, bus station, school, hospital, market.
Urgent sale","1,000 sqft",Plot Area,₹59 Lac,"₹6,000 /sqft",2
3 BHK,"Roshanabad, Haridwar","Navodaya nagar, Rosanabaad","I want to sell urgent, i am going to other place for job so i want selling this",620 sqft,Plot Area,₹22 Lac,"₹3,548 /sqft",1
3 BHK,"Roshanabad, Haridwar",Hero Haridwar Greens,"Modular kitchen
Wardrobes and extra wardrobe too","1,700 sqft",Super Built-up Area,₹62 Lac,"₹3,647 /sqft",3
5 BHK,"Sidcul , Haridwar","Sidcul , Haridwar","Very near to school, market, hospital. Near to dm office, rto office, kutchery, ssp office, sidcul",900 sqft,Plot Area,₹42 Lac,"₹4,444 /sqft",2
2 BHK,"Kankhal, Haridwar","Kankhal, Haridwar",Situated near by harihar ashram and rkms hospital. Surrounded with dense vegetation.,800 sqft,Super Built-up Area,₹25 Lac,"₹3,125 /sqft",1
2 BHK,"Suman Nagar, Haridwar",AV Suman Nagar THDC Colony,Makan 1200000 me hardware bhadrabad,450 sqft,Plot Area,₹12 Lac,"₹2,000 /sqft",1
Plot/Land,"Haripur Kalan, Haridwar","Haripur Kalan, Haridwar","I have a land available for sale in haripur kalan, haridwar. Available at price of rs 4000000. It has plot area of 900 sqft. It is a freehold property",900 sqft,Plot Area,₹40 Lac,"₹4,444 /sqft",0
4 BHK,"Jwalapur, Haridwar","Jwalapur, Haridwar","4 bedrooms with attached toilet & bath and proper spacious room(12*12 ) and one room size is (14*13) ,proper spacious area in our vernada. 
Its locality is very good and user friendly enviornment.","1,250 sqft",Plot Area,₹71 Lac,"₹5,680 /sqft",4
5 BHK,"Arya Nagar, Haridwar","Arya Nagar, Haridwar","Indipendent house for sale in haridwar, near ganga ji, it's very closed to market, hospital, school bus and railway station, only 2 km from har ke paudi
Villa in the heart of the city, 
 94 eighty 69 four two 27. 
Demand price is only for land value.","1,000 sqft",Plot Area,₹59 Lac,"₹6,000 /sqft",3
Plot/Land,"Bhupatwala, Haridwar",Shyam Lok Colony,"Opposite park , behind rajaji national park , 20 mnts to rishikesh and 30 mnts to jolly grant airport","1,100 sqft",Plot Area,₹60 Lac,"₹5,454 /sqft",0
4 BHK,"Rawali Mahdood, Haridwar","Rawali Mahdood, Haridwar",It's totally constructed property. Want to sell immediately,900 sqft,Plot Area,₹23 Lac,"₹2,555 /sqft",2
